,Investing
2020-05-24,94.85981308411215
2020-05-31,88.3177570093458
2020-06-07,98.13084112149534
2020-06-14,107.94392523364486
2020-06-21,104.67289719626169
2020-06-28,101.40186915887851
2020-07-05,117.7570093457944
2020-07-12,114.48598130841123
2020-07-19,114.48598130841123
2020-07-26,114.48598130841123
2020-08-02,98.13084112149534
2020-08-09,137.38317757009347
2020-08-16,127.57009345794393
2020-08-23,130.84112149532712
2020-08-30,117.7570093457944
2020-09-06,137.38317757009347
2020-09-13,124.29906542056075
2020-09-20,117.7570093457944
2020-09-27,114.48598130841123
2020-10-04,107.94392523364486
2020-10-11,121.02803738317758
2020-10-18,101.40186915887851
2020-10-25,98.13084112149534
2020-11-01,91.58878504672897
2020-11-08,104.67289719626169
2020-11-15,101.40186915887851
2020-11-22,107.94392523364486
2020-11-29,117.7570093457944
2020-12-06,111.21495327102804
2020-12-13,111.21495327102804
2020-12-20,101.40186915887851
2020-12-27,88.3177570093458
2021-01-03,114.48598130841123
2021-01-10,114.48598130841123
2021-01-17,130.84112149532712
2021-01-24,117.7570093457944
2021-01-31,124.29906542056075
2021-02-07,121.02803738317758
2021-02-14,121.02803738317758
2021-02-21,111.21495327102804
2021-02-28,114.48598130841123
2021-03-07,114.48598130841123
2021-03-14,104.67289719626169
2021-03-21,107.94392523364486
2021-03-28,111.21495327102804
2021-04-04,114.48598130841123
2021-04-11,78.50467289719626
2021-04-18,101.40186915887851
2021-04-25,101.40186915887851
2021-05-02,111.21495327102804
2021-05-09,98.13084112149534
2021-05-16,111.21495327102804
2021-05-23,94.85981308411215
2021-05-30,101.40186915887851
2021-06-06,121.02803738317758
2021-06-13,121.02803738317758
2021-06-20,121.02803738317758
2021-06-27,127.57009345794393
2021-07-04,127.57009345794393
2021-07-11,127.57009345794393
2021-07-18,117.7570093457944
2021-07-25,114.48598130841123
2021-08-01,111.21495327102804
2021-08-08,111.21495327102804
2021-08-15,104.67289719626169
2021-08-22,111.21495327102804
2021-08-29,124.29906542056075
2021-09-05,107.94392523364486
2021-09-12,117.7570093457944
2021-09-19,111.21495327102804
2021-09-26,121.02803738317758
2021-10-03,124.29906542056075
2021-10-10,124.29906542056075
2021-10-17,104.67289719626169
2021-10-24,114.48598130841123
2021-10-31,117.7570093457944
2021-11-07,130.84112149532712
2021-11-14,117.7570093457944
2021-11-21,124.29906542056075
2021-11-28,117.7570093457944
2021-12-05,124.29906542056075
2021-12-12,121.02803738317758
2021-12-19,121.02803738317758
2021-12-26,121.02803738317758
2022-01-02,183.17757009345794
2022-01-09,160.2803738317757
2022-01-16,137.38317757009347
2022-01-23,150.46728971962617
2022-01-30,147.196261682243
2022-02-06,153.73831775700936
2022-02-13,157.00934579439252
2022-02-20,186.44859813084113
2022-02-27,170.09345794392524
2022-03-06,225.70093457943926
2022-03-13,238.78504672897196
2022-03-20,235.5140186915888
2022-03-27,255.14018691588785
2022-04-03,212.61682242990656
2022-04-10,186.44859813084113
2022-04-17,222.42990654205607
2022-04-24,225.70093457943926
2022-05-01,215.88785046728972
2022-05-08,192.99065420560748
2022-05-15,222.42990654205607
2022-05-22,219.1588785046729
2022-05-29,192.99065420560748
2022-06-05,179.90654205607478
2022-06-12,163.5514018691589
2022-06-19,186.44859813084113
2022-06-26,179.90654205607478
2022-07-03,173.3644859813084
2022-07-10,183.17757009345794
2022-07-17,212.61682242990656
2022-07-24,196.26168224299067
2022-07-31,209.34579439252337
2022-08-07,183.17757009345794
2022-08-14,189.7196261682243
2022-08-21,179.90654205607478
2022-08-28,163.5514018691589
2022-09-04,170.09345794392524
2022-09-11,173.3644859813084
2022-09-18,173.3644859813084
2022-09-25,199.53271028037383
2022-10-02,179.90654205607478
2022-10-09,176.6355140186916
2022-10-16,179.90654205607478
2022-10-23,173.3644859813084
2022-10-30,179.90654205607478
2022-11-06,176.6355140186916
2022-11-13,176.6355140186916
2022-11-20,153.73831775700936
2022-11-27,153.73831775700936
2022-12-04,160.2803738317757
2022-12-11,170.09345794392524
2022-12-18,150.46728971962617
2022-12-25,160.2803738317757
2023-01-01,160.2803738317757
2023-01-08,176.6355140186916
2023-01-15,166.82242990654206
2023-01-22,173.3644859813084
2023-01-29,183.17757009345794
2023-02-05,192.99065420560748
2023-02-12,176.6355140186916
2023-02-19,176.6355140186916
2023-02-26,189.7196261682243
2023-03-05,327.1028037383178
2023-03-12,297.6635514018692
2023-03-19,284.57943925233644
2023-03-26,251.8691588785047
2023-04-02,215.88785046728972
2023-04-09,166.82242990654206
2023-04-16,176.6355140186916
2023-04-23,179.90654205607478
2023-04-30,163.5514018691589
2023-05-07,186.44859813084113
2023-05-14,199.53271028037383
2023-05-21,209.34579439252337
2023-05-28,281.3084112149533
2023-06-04,238.78504672897196
2023-06-11,261.68224299065423
2023-06-18,242.05607476635515
2023-06-25,212.61682242990656
2023-07-02,225.70093457943926
2023-07-09,238.78504672897196
2023-07-16,264.9532710280374
2023-07-23,268.22429906542055
2023-07-30,232.2429906542056
2023-08-06,219.1588785046729
2023-08-13,219.1588785046729
2023-08-20,189.7196261682243
2023-08-27,196.26168224299067
2023-09-03,183.17757009345794
2023-09-10,170.09345794392524
2023-09-17,173.3644859813084
2023-09-24,160.2803738317757
2023-10-01,199.53271028037383
2023-10-08,183.17757009345794
2023-10-15,176.6355140186916
2023-10-22,179.90654205607478
2023-10-29,179.90654205607478
2023-11-05,170.09345794392524
2023-11-12,179.90654205607478
2023-11-19,173.3644859813084
2023-11-26,183.17757009345794
2023-12-03,189.7196261682243
2023-12-10,183.17757009345794
2023-12-17,176.6355140186916
2023-12-24,179.90654205607478
2023-12-31,225.70093457943926
2024-01-07,194.05253769572047
2024-01-14,167.59082800994042
2024-01-21,158.7702581146804
2024-01-28,180.82168285283043
2024-02-04,185.23196780046044
2024-02-11,176.41139790520043
2024-02-18,167.59082800994042
2024-02-25,167.59082800994042
2024-03-03,185.23196780046044
2024-03-10,180.82168285283043
2024-03-17,163.1805430623104
2024-03-24,176.41139790520043
2024-03-31,180.82168285283043
2024-04-07,154.35997316705038
2024-04-14,167.59082800994042
2024-04-21,189.64225274809047
2024-04-28,194.05253769572047
2024-05-05,180.82168285283043
2024-05-12,180.82168285283043
2024-05-19,154.35997316705038
2024-05-26,180.82168285283043
2024-06-02,185.23196780046044
2024-06-09,172.00111295757043
2024-06-16,154.35997316705038
2024-06-23,163.1805430623104
2024-06-30,176.41139790520043
2024-07-07,163.1805430623104
2024-07-14,180.82168285283043
2024-07-21,172.00111295757043
2024-07-28,176.41139790520043
2024-08-04,185.23196780046044
2024-08-11,176.41139790520043
2024-08-18,163.1805430623104
2024-08-25,167.59082800994042
2024-09-01,163.1805430623104
