,Advertising & Marketing
2014-12-28,32
2015-01-04,39
2015-01-11,47
2015-01-18,33
2015-01-25,47
2015-02-01,38
2015-02-08,40
2015-02-15,34
2015-02-22,56
2015-03-01,34
2015-03-08,37
2015-03-15,50
2015-03-22,42
2015-03-29,40
2015-04-05,25
2015-04-12,52
2015-04-19,44
2015-04-26,41
2015-05-03,36
2015-05-10,47
2015-05-17,43
2015-05-24,44
2015-05-31,39
2015-06-07,34
2015-06-14,0
2015-06-21,30
2015-06-28,39
2015-07-05,38
2015-07-12,52
2015-07-19,26
2015-07-26,24
2015-08-02,51
2015-08-09,56
2015-08-16,57
2015-08-23,32
2015-08-30,24
2015-09-06,53
2015-09-13,39
2015-09-20,23
2015-09-27,35
2015-10-04,53
2015-10-11,53
2015-10-18,44
2015-10-25,60
2015-11-01,0
2015-11-08,51
2015-11-15,33
2015-11-22,31
2015-11-29,45
2015-12-06,38
2015-12-13,32
2015-12-20,33
2015-12-27,36
2016-01-03,41
2016-01-10,39
2016-01-17,22
2016-01-24,44
2016-01-31,46
2016-02-07,52
2016-02-14,45
2016-02-21,62
2016-02-28,59
2016-03-06,77
2016-03-13,54
2016-03-20,62
2016-03-27,57
2016-04-03,61
2016-04-10,64
2016-04-17,79
2016-04-24,64
2016-05-01,54
2016-05-08,58
2016-05-15,79
2016-05-22,50
2016-05-29,76
2016-06-05,27
2016-06-12,76
2016-06-19,50
2016-06-26,41
2016-07-03,46
2016-07-10,62
2016-07-17,47
2016-07-24,60
2016-07-31,50
2016-08-07,52
2016-08-14,91
2016-08-21,81
2016-08-28,26
2016-09-04,64
2016-09-11,42
2016-09-18,32
2016-09-25,30
2016-10-02,0
2016-10-09,0
2016-10-16,34
2016-10-23,30
2016-10-30,0
2016-11-06,23
2016-11-13,28
2016-11-20,0
2016-11-27,30
2016-12-04,25
2016-12-11,23
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,27
2017-01-29,34
2017-02-05,71
2017-02-12,60
2017-02-19,55
2017-02-26,71
2017-03-05,54
2017-03-12,55
2017-03-19,70
2017-03-26,50
2017-04-02,89
2017-04-09,71
2017-04-16,37
2017-04-23,65
2017-04-30,47
2017-05-07,46
2017-05-14,57
2017-05-21,43
2017-05-28,44
2017-06-04,38
2017-06-11,49
2017-06-18,38
2017-06-25,38
2017-07-02,68
2017-07-09,67
2017-07-16,49
2017-07-23,47
2017-07-30,58
2017-08-06,57
2017-08-13,66
2017-08-20,41
2017-08-27,56
2017-09-03,36
2017-09-10,58
2017-09-17,31
2017-09-24,45
2017-10-01,70
2017-10-08,52
2017-10-15,54
2017-10-22,46
2017-10-29,58
2017-11-05,61
2017-11-12,58
2017-11-19,51
2017-11-26,52
2017-12-03,48
2017-12-10,37
2017-12-17,0
2017-12-24,50
2017-12-31,31
2018-01-07,45
2018-01-14,48
2018-01-21,46
2018-01-28,54
2018-02-04,45
2018-02-11,50
2018-02-18,39
2018-02-25,61
2018-03-04,45
2018-03-11,55
2018-03-18,57
2018-03-25,48
2018-04-01,71
2018-04-08,78
2018-04-15,51
2018-04-22,56
2018-04-29,46
2018-05-06,47
2018-05-13,47
2018-05-20,33
2018-05-27,32
2018-06-03,47
2018-06-10,57
2018-06-17,51
2018-06-24,61
2018-07-01,33
2018-07-08,56
2018-07-15,59
2018-07-22,25
2018-07-29,51
2018-08-05,65
2018-08-12,65
2018-08-19,36
2018-08-26,60
2018-09-02,50
2018-09-09,58
2018-09-16,51
2018-09-23,53
2018-09-30,69
2018-10-07,56
2018-10-14,77
2018-10-21,69
2018-10-28,72
2018-11-04,55
2018-11-11,49
2018-11-18,61
2018-11-25,58
2018-12-02,41
2018-12-09,58
2018-12-16,71
2018-12-23,52
2018-12-30,85
2019-01-06,55
2019-01-13,54
2019-01-20,62
2019-01-27,82
2019-02-03,78
2019-02-10,65
2019-02-17,72
2019-02-24,71
2019-03-03,58
2019-03-10,60
2019-03-17,72
2019-03-24,90
2019-03-31,100
2019-04-07,59
2019-04-14,60
2019-04-21,65
2019-04-28,78
2019-05-05,62
2019-05-12,59
2019-05-19,53
2019-05-26,55
2019-06-02,56
2019-06-09,68
2019-06-16,66
2019-06-23,85
2019-06-30,76
2019-07-07,81
2019-07-14,73
2019-07-21,64
2019-07-28,59
2019-08-04,66
2019-08-11,49
2019-08-18,65
2019-08-25,61
2019-09-01,54
2019-09-08,66
2019-09-15,41
2019-09-22,66
2019-09-29,62
2019-10-06,51
2019-10-13,85
2019-10-20,49
2019-10-27,73
2019-11-03,45
2019-11-10,65
2019-11-17,90
2019-11-24,71
2019-12-01,82
2019-12-08,65
2019-12-15,75
2019-12-22,66
2019-12-29,63
2020-01-05,71
