,Games
2023-01-01,76
2023-01-08,69
2023-01-15,72
2023-01-22,75
2023-01-29,75
2023-02-05,74
2023-02-12,77
2023-02-19,75
2023-02-26,72
2023-03-05,74
2023-03-12,73
2023-03-19,75
2023-03-26,74
2023-04-02,79
2023-04-09,73
2023-04-16,69
2023-04-23,73
2023-04-30,72
2023-05-07,76
2023-05-14,78
2023-05-21,72
2023-05-28,74
2023-06-04,78
2023-06-11,78
2023-06-18,78
2023-06-25,81
2023-07-02,78
2023-07-09,76
2023-07-16,78
2023-07-23,75
2023-07-30,77
2023-08-06,77
2023-08-13,79
2023-08-20,82
2023-08-27,77
2023-09-03,78
2023-09-10,74
2023-09-17,78
2023-09-24,79
2023-10-01,76
2023-10-08,81
2023-10-15,82
2023-10-22,83
2023-10-29,79
2023-11-05,85
2023-11-12,78
2023-11-19,78
2023-11-26,75
2023-12-03,78
2023-12-10,80
2023-12-17,85
2023-12-24,91
2023-12-31,85
2024-01-07,80
2024-01-14,83
2024-01-21,79
2024-01-28,82
2024-02-04,78
2024-02-11,78
2024-02-18,73
2024-02-25,73
2024-03-03,81
2024-03-10,77
2024-03-17,77
2024-03-24,76
2024-03-31,77
2024-04-07,76
2024-04-14,67
2024-04-21,76
2024-04-28,77
2024-05-05,78
2024-05-12,77
2024-05-19,68
2024-05-26,74
2024-06-02,73
2024-06-09,78
2024-06-16,78
2024-06-23,77
2024-06-30,80
2024-07-07,76
2024-07-14,78
2024-07-21,77
2024-07-28,75
2024-08-04,77
2024-08-11,81
2024-08-18,78
2024-08-25,78
2024-09-01,79
2024-09-08,76
2024-09-15,74
2024-09-22,68
2024-09-29,71
2024-10-06,74
2024-10-13,74
2024-10-20,73
2024-10-27,78
2024-11-03,76
2024-11-10,78
2024-11-17,74
2024-11-24,79
2024-12-01,77
2024-12-08,82
2024-12-15,85
2024-12-22,93
2024-12-29,89
2025-01-05,81
2025-01-12,79
2025-01-19,82
2025-01-26,81
2025-02-02,79
2025-02-09,76
2025-02-16,80
2025-02-23,80
2025-03-02,81
2025-03-09,80
2025-03-16,84
2025-03-23,81
2025-03-30,88
2025-04-06,80
2025-04-13,78
2025-04-20,78
2025-04-27,82
2025-05-04,81
2025-05-11,73
2025-05-18,91
2025-05-25,81
2025-06-01,79
2025-06-08,76
2025-06-15,85
2025-06-22,84
2025-06-29,85
2025-07-06,86
2025-07-13,85
2025-07-20,84
2025-07-27,88
2025-08-03,91
2025-08-10,89
2025-08-17,89
2025-08-24,79
2025-08-31,80
2025-09-07,77
2025-09-14,79
2025-09-21,80
2025-09-28,81
2025-10-05,95
2025-10-12,91
2025-10-19,94
2025-10-26,86
2025-11-02,100
2025-11-09,94
2025-11-16,92
2025-11-23,92
2025-11-30,87
2025-12-07,97
2025-12-14,91
2025-12-21,99
2025-12-28,99
2026-01-04,87
