,Home Improvement
2023-01-01,65
2023-01-08,59
2023-01-15,56
2023-01-22,68
2023-01-29,66
2023-02-05,64
2023-02-12,62
2023-02-19,67
2023-02-26,63
2023-03-05,67
2023-03-12,65
2023-03-19,67
2023-03-26,61
2023-04-02,55
2023-04-09,58
2023-04-16,55
2023-04-23,60
2023-04-30,62
2023-05-07,60
2023-05-14,64
2023-05-21,65
2023-05-28,65
2023-06-04,65
2023-06-11,62
2023-06-18,66
2023-06-25,53
2023-07-02,61
2023-07-09,63
2023-07-16,67
2023-07-23,56
2023-07-30,55
2023-08-06,63
2023-08-13,73
2023-08-20,69
2023-08-27,77
2023-09-03,60
2023-09-10,68
2023-09-17,72
2023-09-24,59
2023-10-01,69
2023-10-08,68
2023-10-15,76
2023-10-22,78
2023-10-29,76
2023-11-05,74
2023-11-12,80
2023-11-19,72
2023-11-26,83
2023-12-03,76
2023-12-10,74
2023-12-17,72
2023-12-24,77
2023-12-31,77
2024-01-07,79
2024-01-14,76
2024-01-21,84
2024-01-28,87
2024-02-04,81
2024-02-11,84
2024-02-18,75
2024-02-25,92
2024-03-03,90
2024-03-10,66
2024-03-17,72
2024-03-24,78
2024-03-31,80
2024-04-07,61
2024-04-14,70
2024-04-21,63
2024-04-28,68
2024-05-05,76
2024-05-12,69
2024-05-19,75
2024-05-26,74
2024-06-02,76
2024-06-09,81
2024-06-16,68
2024-06-23,85
2024-06-30,76
2024-07-07,77
2024-07-14,84
2024-07-21,76
2024-07-28,81
2024-08-04,79
2024-08-11,85
2024-08-18,87
2024-08-25,88
2024-09-01,83
2024-09-08,75
2024-09-15,77
2024-09-22,72
2024-09-29,76
2024-10-06,75
2024-10-13,81
2024-10-20,80
2024-10-27,86
2024-11-03,73
2024-11-10,69
2024-11-17,77
2024-11-24,90
2024-12-01,80
2024-12-08,88
2024-12-15,82
2024-12-22,94
2024-12-29,89
2025-01-05,75
2025-01-12,100
2025-01-19,88
2025-01-26,85
2025-02-02,88
2025-02-09,92
2025-02-16,98
2025-02-23,78
2025-03-02,67
2025-03-09,81
2025-03-16,79
2025-03-23,72
2025-03-30,69
2025-04-06,89
2025-04-13,76
2025-04-20,82
2025-04-27,80
2025-05-04,79
2025-05-11,78
2025-05-18,80
2025-05-25,79
2025-06-01,72
2025-06-08,70
2025-06-15,83
2025-06-22,84
2025-06-29,82
2025-07-06,91
2025-07-13,82
2025-07-20,86
2025-07-27,83
2025-08-03,77
2025-08-10,84
2025-08-17,80
2025-08-24,79
2025-08-31,75
2025-09-07,79
2025-09-14,82
2025-09-21,80
2025-09-28,67
2025-10-05,81
2025-10-12,83
2025-10-19,84
2025-10-26,78
2025-11-02,75
2025-11-09,82
2025-11-16,85
2025-11-23,85
2025-11-30,90
2025-12-07,87
2025-12-14,84
2025-12-21,87
2025-12-28,93
2026-01-04,83
