,Entertainment Media
2014-12-28,53
2015-01-04,45
2015-01-11,53
2015-01-18,48
2015-01-25,48
2015-02-01,47
2015-02-08,50
2015-02-15,48
2015-02-22,47
2015-03-01,55
2015-03-08,51
2015-03-15,51
2015-03-22,54
2015-03-29,60
2015-04-05,63
2015-04-12,56
2015-04-19,55
2015-04-26,54
2015-05-03,51
2015-05-10,57
2015-05-17,53
2015-05-24,50
2015-05-31,58
2015-06-07,53
2015-06-14,59
2015-06-21,61
2015-06-28,57
2015-07-05,58
2015-07-12,52
2015-07-19,60
2015-07-26,60
2015-08-02,54
2015-08-09,66
2015-08-16,51
2015-08-23,53
2015-08-30,60
2015-09-06,60
2015-09-13,47
2015-09-20,53
2015-09-27,56
2015-10-04,52
2015-10-11,45
2015-10-18,57
2015-10-25,52
2015-11-01,57
2015-11-08,57
2015-11-15,59
2015-11-22,51
2015-11-29,55
2015-12-06,57
2015-12-13,65
2015-12-20,74
2015-12-27,69
2016-01-03,88
2016-01-10,66
2016-01-17,65
2016-01-24,54
2016-01-31,57
2016-02-07,64
2016-02-14,61
2016-02-21,56
2016-02-28,63
2016-03-06,59
2016-03-13,56
2016-03-20,68
2016-03-27,55
2016-04-03,59
2016-04-10,58
2016-04-17,91
2016-04-24,68
2016-05-01,78
2016-05-08,70
2016-05-15,55
2016-05-22,69
2016-05-29,69
2016-06-05,59
2016-06-12,64
2016-06-19,75
2016-06-26,65
2016-07-03,67
2016-07-10,71
2016-07-17,72
2016-07-24,71
2016-07-31,80
2016-08-07,79
2016-08-14,64
2016-08-21,73
2016-08-28,67
2016-09-04,75
2016-09-11,70
2016-09-18,73
2016-09-25,68
2016-10-02,71
2016-10-09,73
2016-10-16,69
2016-10-23,68
2016-10-30,70
2016-11-06,68
2016-11-13,65
2016-11-20,72
2016-11-27,63
2016-12-04,74
2016-12-11,76
2016-12-18,75
2016-12-25,87
2017-01-01,73
2017-01-08,69
2017-01-15,69
2017-01-22,68
2017-01-29,70
2017-02-05,66
2017-02-12,71
2017-02-19,66
2017-02-26,72
2017-03-05,82
2017-03-12,69
2017-03-19,75
2017-03-26,79
2017-04-02,77
2017-04-09,77
2017-04-16,86
2017-04-23,76
2017-04-30,70
2017-05-07,68
2017-05-14,72
2017-05-21,63
2017-05-28,100
2017-06-04,69
2017-06-11,69
2017-06-18,63
2017-06-25,74
2017-07-02,74
2017-07-09,75
2017-07-16,69
2017-07-23,64
2017-07-30,71
2017-08-06,76
2017-08-13,69
2017-08-20,72
2017-08-27,69
2017-09-03,69
2017-09-10,73
2017-09-17,67
2017-09-24,71
2017-10-01,63
2017-10-08,71
2017-10-15,73
2017-10-22,71
2017-10-29,75
2017-11-05,71
2017-11-12,66
2017-11-19,64
2017-11-26,73
2017-12-03,61
2017-12-10,69
2017-12-17,76
2017-12-24,78
2017-12-31,74
2018-01-07,74
2018-01-14,66
2018-01-21,69
2018-01-28,67
2018-02-04,66
2018-02-11,75
2018-02-18,71
2018-02-25,71
2018-03-04,56
2018-03-11,57
2018-03-18,64
2018-03-25,63
2018-04-01,59
2018-04-08,64
2018-04-15,65
2018-04-22,64
2018-04-29,60
2018-05-06,68
2018-05-13,63
2018-05-20,61
2018-05-27,58
2018-06-03,64
2018-06-10,74
2018-06-17,65
2018-06-24,60
2018-07-01,70
2018-07-08,69
2018-07-15,62
2018-07-22,70
2018-07-29,82
2018-08-05,80
2018-08-12,83
2018-08-19,76
2018-08-26,74
2018-09-02,83
2018-09-09,76
2018-09-16,82
2018-09-23,82
2018-09-30,86
2018-10-07,85
2018-10-14,85
2018-10-21,79
2018-10-28,80
2018-11-04,74
2018-11-11,75
2018-11-18,80
2018-11-25,80
2018-12-02,89
2018-12-09,79
2018-12-16,87
2018-12-23,93
2018-12-30,92
2019-01-06,86
2019-01-13,81
2019-01-20,81
2019-01-27,82
2019-02-03,75
2019-02-10,81
2019-02-17,73
2019-02-24,73
2019-03-03,70
2019-03-10,66
2019-03-17,63
2019-03-24,67
2019-03-31,70
2019-04-07,68
2019-04-14,61
2019-04-21,67
2019-04-28,70
2019-05-05,68
2019-05-12,59
2019-05-19,63
2019-05-26,72
2019-06-02,72
2019-06-09,64
2019-06-16,69
2019-06-23,71
2019-06-30,73
2019-07-07,81
2019-07-14,77
2019-07-21,71
2019-07-28,73
2019-08-04,77
2019-08-11,77
2019-08-18,73
2019-08-25,74
2019-09-01,69
2019-09-08,76
2019-09-15,73
2019-09-22,68
2019-09-29,68
2019-10-06,61
2019-10-13,69
2019-10-20,68
2019-10-27,67
2019-11-03,60
2019-11-10,65
2019-11-17,57
2019-11-24,64
2019-12-01,67
2019-12-08,77
2019-12-15,78
2019-12-22,80
2019-12-29,83
2020-01-05,71
