,Entertainment Media
2023-01-01,71
2023-01-08,65
2023-01-15,60
2023-01-22,77
2023-01-29,72
2023-02-05,67
2023-02-12,71
2023-02-19,61
2023-02-26,58
2023-03-05,57
2023-03-12,57
2023-03-19,58
2023-03-26,54
2023-04-02,56
2023-04-09,59
2023-04-16,55
2023-04-23,55
2023-04-30,60
2023-05-07,55
2023-05-14,58
2023-05-21,59
2023-05-28,59
2023-06-04,60
2023-06-11,62
2023-06-18,62
2023-06-25,66
2023-07-02,69
2023-07-09,70
2023-07-16,62
2023-07-23,61
2023-07-30,65
2023-08-06,65
2023-08-13,70
2023-08-20,70
2023-08-27,69
2023-09-03,64
2023-09-10,62
2023-09-17,63
2023-09-24,68
2023-10-01,66
2023-10-08,60
2023-10-15,68
2023-10-22,58
2023-10-29,61
2023-11-05,68
2023-11-12,62
2023-11-19,59
2023-11-26,64
2023-12-03,65
2023-12-10,68
2023-12-17,70
2023-12-24,75
2023-12-31,70
2024-01-07,68
2024-01-14,66
2024-01-21,65
2024-01-28,67
2024-02-04,69
2024-02-11,68
2024-02-18,70
2024-02-25,69
2024-03-03,64
2024-03-10,64
2024-03-17,71
2024-03-24,73
2024-03-31,65
2024-04-07,64
2024-04-14,63
2024-04-21,64
2024-04-28,73
2024-05-05,67
2024-05-12,70
2024-05-19,66
2024-05-26,71
2024-06-02,69
2024-06-09,71
2024-06-16,64
2024-06-23,69
2024-06-30,74
2024-07-07,70
2024-07-14,72
2024-07-21,75
2024-07-28,68
2024-08-04,68
2024-08-11,73
2024-08-18,72
2024-08-25,69
2024-09-01,74
2024-09-08,67
2024-09-15,72
2024-09-22,67
2024-09-29,72
2024-10-06,74
2024-10-13,81
2024-10-20,68
2024-10-27,81
2024-11-03,67
2024-11-10,100
2024-11-17,98
2024-11-24,80
2024-12-01,73
2024-12-08,75
2024-12-15,78
2024-12-22,92
2024-12-29,93
2025-01-05,84
2025-01-12,82
2025-01-19,77
2025-01-26,78
2025-02-02,78
2025-02-09,72
2025-02-16,78
2025-02-23,73
2025-03-02,67
2025-03-09,68
2025-03-16,68
2025-03-23,66
2025-03-30,74
2025-04-06,70
2025-04-13,73
2025-04-20,73
2025-04-27,74
2025-05-04,73
2025-05-11,69
2025-05-18,71
2025-05-25,74
2025-06-01,74
2025-06-08,74
2025-06-15,73
2025-06-22,74
2025-06-29,72
2025-07-06,68
2025-07-13,74
2025-07-20,71
2025-07-27,73
2025-08-03,74
2025-08-10,75
2025-08-17,72
2025-08-24,69
2025-08-31,69
2025-09-07,70
2025-09-14,68
2025-09-21,68
2025-09-28,69
2025-10-05,68
2025-10-12,73
2025-10-19,76
2025-10-26,69
2025-11-02,65
2025-11-09,63
2025-11-16,76
2025-11-23,71
2025-11-30,75
2025-12-07,81
2025-12-14,83
2025-12-21,96
2025-12-28,94
