,Lawyer
2023-01-01,60
2023-01-08,68
2023-01-15,73
2023-01-22,67
2023-01-29,65
2023-02-05,100
2023-02-12,92
2023-02-19,93
2023-02-26,86
2023-03-05,96
2023-03-12,83
2023-03-19,87
2023-03-26,83
2023-04-02,71
2023-04-09,62
2023-04-16,59
2023-04-23,57
2023-04-30,58
2023-05-07,74
2023-05-14,63
2023-05-21,83
2023-05-28,59
2023-06-04,61
2023-06-11,73
2023-06-18,72
2023-06-25,48
2023-07-02,62
2023-07-09,72
2023-07-16,67
2023-07-23,83
2023-07-30,53
2023-08-06,66
2023-08-13,69
2023-08-20,65
2023-08-27,71
2023-09-03,54
2023-09-10,60
2023-09-17,78
2023-09-24,66
2023-10-01,61
2023-10-08,62
2023-10-15,58
2023-10-22,44
2023-10-29,59
2023-11-05,65
2023-11-12,60
2023-11-19,74
2023-11-26,61
2023-12-03,83
2023-12-10,62
2023-12-17,77
2023-12-24,55
2023-12-31,68
2024-01-07,76
2024-01-14,81
2024-01-21,70
2024-01-28,78
2024-02-04,78
2024-02-11,75
2024-02-18,72
2024-02-25,78
2024-03-03,64
2024-03-10,68
2024-03-17,64
2024-03-24,53
2024-03-31,60
2024-04-07,60
2024-04-14,44
2024-04-21,60
2024-04-28,62
2024-05-05,62
2024-05-12,59
2024-05-19,60
2024-05-26,56
2024-06-02,55
2024-06-09,59
2024-06-16,51
2024-06-23,55
2024-06-30,63
2024-07-07,69
2024-07-14,74
2024-07-21,66
2024-07-28,52
2024-08-04,58
2024-08-11,57
2024-08-18,56
2024-08-25,71
2024-09-01,64
2024-09-08,56
2024-09-15,58
2024-09-22,69
2024-09-29,61
2024-10-06,68
2024-10-13,56
2024-10-20,63
2024-10-27,71
2024-11-03,54
2024-11-10,52
2024-11-17,64
2024-11-24,47
2024-12-01,73
2024-12-08,59
2024-12-15,60
2024-12-22,59
2024-12-29,50
2025-01-05,59
2025-01-12,87
2025-01-19,80
2025-01-26,60
2025-02-02,65
2025-02-09,62
2025-02-16,66
2025-02-23,65
2025-03-02,58
2025-03-09,76
2025-03-16,68
2025-03-23,59
2025-03-30,58
2025-04-06,53
2025-04-13,52
2025-04-20,70
2025-04-27,58
2025-05-04,66
2025-05-11,63
2025-05-18,80
2025-05-25,61
2025-06-01,74
2025-06-08,83
2025-06-15,67
2025-06-22,75
2025-06-29,65
2025-07-06,53
2025-07-13,64
2025-07-20,51
2025-07-27,72
2025-08-03,61
2025-08-10,68
2025-08-17,75
2025-08-24,71
2025-08-31,65
2025-09-07,65
2025-09-14,61
2025-09-21,61
2025-09-28,64
2025-10-05,67
2025-10-12,80
2025-10-19,59
2025-10-26,82
2025-11-02,73
2025-11-09,77
2025-11-16,75
2025-11-23,65
2025-11-30,61
2025-12-07,76
2025-12-14,73
2025-12-21,52
2025-12-28,64
