,Lawyer
2014-12-28,19
2015-01-04,28
2015-01-11,31
2015-01-18,27
2015-01-25,30
2015-02-01,32
2015-02-08,37
2015-02-15,24
2015-02-22,29
2015-03-01,25
2015-03-08,20
2015-03-15,27
2015-03-22,17
2015-03-29,25
2015-04-05,31
2015-04-12,0
2015-04-19,25
2015-04-26,23
2015-05-03,32
2015-05-10,33
2015-05-17,26
2015-05-24,26
2015-05-31,31
2015-06-07,21
2015-06-14,20
2015-06-21,17
2015-06-28,25
2015-07-05,31
2015-07-12,31
2015-07-19,28
2015-07-26,26
2015-08-02,26
2015-08-09,33
2015-08-16,29
2015-08-23,32
2015-08-30,28
2015-09-06,30
2015-09-13,29
2015-09-20,25
2015-09-27,32
2015-10-04,31
2015-10-11,21
2015-10-18,24
2015-10-25,22
2015-11-01,28
2015-11-08,33
2015-11-15,28
2015-11-22,28
2015-11-29,25
2015-12-06,30
2015-12-13,24
2015-12-20,21
2015-12-27,22
2016-01-03,28
2016-01-10,29
2016-01-17,27
2016-01-24,29
2016-01-31,26
2016-02-07,37
2016-02-14,22
2016-02-21,28
2016-02-28,30
2016-03-06,26
2016-03-13,35
2016-03-20,33
2016-03-27,31
2016-04-03,25
2016-04-10,23
2016-04-17,25
2016-04-24,30
2016-05-01,31
2016-05-08,27
2016-05-15,20
2016-05-22,25
2016-05-29,26
2016-06-05,22
2016-06-12,33
2016-06-19,35
2016-06-26,25
2016-07-03,23
2016-07-10,18
2016-07-17,24
2016-07-24,25
2016-07-31,22
2016-08-07,24
2016-08-14,12
2016-08-21,27
2016-08-28,31
2016-09-04,27
2016-09-11,19
2016-09-18,22
2016-09-25,21
2016-10-02,20
2016-10-09,21
2016-10-16,23
2016-10-23,23
2016-10-30,21
2016-11-06,24
2016-11-13,25
2016-11-20,23
2016-11-27,28
2016-12-04,33
2016-12-11,21
2016-12-18,23
2016-12-25,24
2017-01-01,27
2017-01-08,26
2017-01-15,39
2017-01-22,41
2017-01-29,26
2017-02-05,28
2017-02-12,32
2017-02-19,27
2017-02-26,41
2017-03-05,34
2017-03-12,37
2017-03-19,29
2017-03-26,30
2017-04-02,26
2017-04-09,20
2017-04-16,24
2017-04-23,34
2017-04-30,34
2017-05-07,33
2017-05-14,45
2017-05-21,25
2017-05-28,20
2017-06-04,25
2017-06-11,25
2017-06-18,24
2017-06-25,26
2017-07-02,31
2017-07-09,33
2017-07-16,35
2017-07-23,33
2017-07-30,27
2017-08-06,29
2017-08-13,34
2017-08-20,25
2017-08-27,26
2017-09-03,37
2017-09-10,29
2017-09-17,35
2017-09-24,22
2017-10-01,30
2017-10-08,32
2017-10-15,32
2017-10-22,25
2017-10-29,40
2017-11-05,31
2017-11-12,35
2017-11-19,26
2017-11-26,26
2017-12-03,31
2017-12-10,26
2017-12-17,20
2017-12-24,16
2017-12-31,35
2018-01-07,30
2018-01-14,39
2018-01-21,29
2018-01-28,33
2018-02-04,24
2018-02-11,32
2018-02-18,30
2018-02-25,25
2018-03-04,26
2018-03-11,32
2018-03-18,31
2018-03-25,34
2018-04-01,35
2018-04-08,27
2018-04-15,37
2018-04-22,41
2018-04-29,35
2018-05-06,35
2018-05-13,34
2018-05-20,28
2018-05-27,30
2018-06-03,33
2018-06-10,27
2018-06-17,42
2018-06-24,31
2018-07-01,34
2018-07-08,43
2018-07-15,41
2018-07-22,41
2018-07-29,42
2018-08-05,33
2018-08-12,41
2018-08-19,46
2018-08-26,57
2018-09-02,44
2018-09-09,54
2018-09-16,55
2018-09-23,57
2018-09-30,52
2018-10-07,72
2018-10-14,69
2018-10-21,57
2018-10-28,62
2018-11-04,52
2018-11-11,68
2018-11-18,73
2018-11-25,88
2018-12-02,94
2018-12-09,80
2018-12-16,72
2018-12-23,73
2018-12-30,59
2019-01-06,60
2019-01-13,58
2019-01-20,54
2019-01-27,53
2019-02-03,56
2019-02-10,63
2019-02-17,50
2019-02-24,74
2019-03-03,44
2019-03-10,50
2019-03-17,58
2019-03-24,56
2019-03-31,62
2019-04-07,68
2019-04-14,50
2019-04-21,43
2019-04-28,53
2019-05-05,67
2019-05-12,56
2019-05-19,73
2019-05-26,65
2019-06-02,65
2019-06-09,59
2019-06-16,64
2019-06-23,64
2019-06-30,81
2019-07-07,67
2019-07-14,65
2019-07-21,73
2019-07-28,78
2019-08-04,63
2019-08-11,51
2019-08-18,69
2019-08-25,73
2019-09-01,75
2019-09-08,64
2019-09-15,74
2019-09-22,88
2019-09-29,77
2019-10-06,70
2019-10-13,100
2019-10-20,81
2019-10-27,80
2019-11-03,86
2019-11-10,93
2019-11-17,80
2019-11-24,76
2019-12-01,80
2019-12-08,71
2019-12-15,70
2019-12-22,58
2019-12-29,61
2020-01-05,54
