,Fire & Security Services
2023-01-01,61
2023-01-08,60
2023-01-15,60
2023-01-22,55
2023-01-29,66
2023-02-05,57
2023-02-12,55
2023-02-19,60
2023-02-26,63
2023-03-05,62
2023-03-12,83
2023-03-19,100
2023-03-26,86
2023-04-02,92
2023-04-09,74
2023-04-16,61
2023-04-23,63
2023-04-30,49
2023-05-07,52
2023-05-14,56
2023-05-21,54
2023-05-28,57
2023-06-04,58
2023-06-11,67
2023-06-18,72
2023-06-25,78
2023-07-02,81
2023-07-09,79
2023-07-16,68
2023-07-23,76
2023-07-30,71
2023-08-06,73
2023-08-13,71
2023-08-20,69
2023-08-27,70
2023-09-03,58
2023-09-10,63
2023-09-17,67
2023-09-24,65
2023-10-01,67
2023-10-08,59
2023-10-15,54
2023-10-22,46
2023-10-29,54
2023-11-05,47
2023-11-12,38
2023-11-19,50
2023-11-26,50
2023-12-03,52
2023-12-10,59
2023-12-17,63
2023-12-24,59
2023-12-31,56
2024-01-07,57
2024-01-14,52
2024-01-21,49
2024-01-28,65
2024-02-04,75
2024-02-11,67
2024-02-18,71
2024-02-25,76
2024-03-03,82
2024-03-10,66
2024-03-17,55
2024-03-24,46
2024-03-31,48
2024-04-07,44
2024-04-14,45
2024-04-21,43
2024-04-28,47
2024-05-05,48
2024-05-12,47
2024-05-19,51
2024-05-26,59
2024-06-02,54
2024-06-09,67
2024-06-16,59
2024-06-23,60
2024-06-30,60
2024-07-07,57
2024-07-14,60
2024-07-21,62
2024-07-28,63
2024-08-04,62
2024-08-11,63
2024-08-18,56
2024-08-25,61
2024-09-01,58
2024-09-08,60
2024-09-15,54
2024-09-22,59
2024-09-29,52
2024-10-06,43
2024-10-13,51
2024-10-20,50
2024-10-27,41
2024-11-03,48
2024-11-10,52
2024-11-17,49
2024-11-24,48
2024-12-01,49
2024-12-08,50
2024-12-15,52
2024-12-22,51
2024-12-29,45
2025-01-05,50
2025-01-12,51
2025-01-19,51
2025-01-26,50
2025-02-02,46
2025-02-09,49
2025-02-16,53
2025-02-23,52
2025-03-02,54
2025-03-09,42
2025-03-16,48
2025-03-23,47
2025-03-30,44
2025-04-06,45
2025-04-13,45
2025-04-20,52
2025-04-27,50
2025-05-04,51
2025-05-11,57
2025-05-18,57
2025-05-25,51
2025-06-01,54
2025-06-08,51
2025-06-15,56
2025-06-22,59
2025-06-29,56
2025-07-06,57
2025-07-13,57
2025-07-20,58
2025-07-27,55
2025-08-03,46
2025-08-10,44
2025-08-17,55
2025-08-24,46
2025-08-31,42
2025-09-07,44
2025-09-14,45
2025-09-21,47
2025-09-28,37
2025-10-05,45
2025-10-12,43
2025-10-19,34
2025-10-26,42
2025-11-02,42
2025-11-09,44
2025-11-16,44
2025-11-23,43
2025-11-30,45
2025-12-07,45
2025-12-14,45
2025-12-21,45
2025-12-28,41
2026-01-04,45
