,Development Tools
2023-01-01,87
2023-01-08,88
2023-01-15,84
2023-01-22,80
2023-01-29,89
2023-02-05,91
2023-02-12,91
2023-02-19,89
2023-02-26,88
2023-03-05,79
2023-03-12,87
2023-03-19,86
2023-03-26,83
2023-04-02,83
2023-04-09,85
2023-04-16,85
2023-04-23,97
2023-04-30,78
2023-05-07,84
2023-05-14,83
2023-05-21,84
2023-05-28,81
2023-06-04,83
2023-06-11,83
2023-06-18,89
2023-06-25,83
2023-07-02,90
2023-07-09,92
2023-07-16,90
2023-07-23,92
2023-07-30,96
2023-08-06,93
2023-08-13,83
2023-08-20,93
2023-08-27,79
2023-09-03,85
2023-09-10,86
2023-09-17,77
2023-09-24,86
2023-10-01,83
2023-10-08,86
2023-10-15,82
2023-10-22,68
2023-10-29,80
2023-11-05,74
2023-11-12,56
2023-11-19,75
2023-11-26,73
2023-12-03,80
2023-12-10,83
2023-12-17,82
2023-12-24,73
2023-12-31,80
2024-01-07,82
2024-01-14,78
2024-01-21,75
2024-01-28,98
2024-02-04,100
2024-02-11,94
2024-02-18,94
2024-02-25,97
2024-03-03,94
2024-03-10,92
2024-03-17,92
2024-03-24,82
2024-03-31,95
2024-04-07,82
2024-04-14,85
2024-04-21,85
2024-04-28,82
2024-05-05,87
2024-05-12,85
2024-05-19,86
2024-05-26,85
2024-06-02,84
2024-06-09,92
2024-06-16,92
2024-06-23,91
2024-06-30,91
2024-07-07,90
2024-07-14,96
2024-07-21,98
2024-07-28,97
2024-08-04,91
2024-08-11,86
2024-08-18,89
2024-08-25,93
2024-09-01,93
2024-09-08,91
2024-09-15,88
2024-09-22,96
2024-09-29,83
2024-10-06,80
2024-10-13,90
2024-10-20,92
2024-10-27,63
2024-11-03,78
2024-11-10,85
2024-11-17,86
2024-11-24,84
2024-12-01,83
2024-12-08,85
2024-12-15,85
2024-12-22,78
2024-12-29,77
2025-01-05,84
2025-01-12,78
2025-01-19,96
2025-01-26,98
2025-02-02,95
2025-02-09,93
2025-02-16,89
2025-02-23,90
2025-03-02,89
2025-03-09,80
2025-03-16,93
2025-03-23,93
2025-03-30,87
2025-04-06,87
2025-04-13,81
2025-04-20,86
2025-04-27,82
2025-05-04,82
2025-05-11,84
2025-05-18,85
2025-05-25,85
2025-06-01,81
2025-06-08,92
2025-06-15,88
2025-06-22,95
2025-06-29,86
2025-07-06,91
2025-07-13,98
2025-07-20,100
2025-07-27,97
2025-08-03,94
2025-08-10,82
2025-08-17,93
2025-08-24,86
2025-08-31,84
2025-09-07,91
2025-09-14,90
2025-09-21,85
2025-09-28,69
2025-10-05,87
2025-10-12,78
2025-10-19,56
2025-10-26,82
2025-11-02,82
2025-11-09,83
2025-11-16,81
2025-11-23,71
2025-11-30,72
2025-12-07,73
2025-12-14,77
2025-12-21,74
2025-12-28,69
2026-01-04,79
