,Consumer Electronics
2014-12-28,38
2015-01-04,35
2015-01-11,36
2015-01-18,37
2015-01-25,35
2015-02-01,35
2015-02-08,36
2015-02-15,37
2015-02-22,34
2015-03-01,35
2015-03-08,36
2015-03-15,36
2015-03-22,36
2015-03-29,37
2015-04-05,38
2015-04-12,35
2015-04-19,35
2015-04-26,36
2015-05-03,36
2015-05-10,37
2015-05-17,36
2015-05-24,36
2015-05-31,36
2015-06-07,34
2015-06-14,36
2015-06-21,42
2015-06-28,48
2015-07-05,48
2015-07-12,48
2015-07-19,48
2015-07-26,50
2015-08-02,48
2015-08-09,49
2015-08-16,49
2015-08-23,46
2015-08-30,49
2015-09-06,50
2015-09-13,46
2015-09-20,44
2015-09-27,44
2015-10-04,45
2015-10-11,52
2015-10-18,45
2015-10-25,49
2015-11-01,48
2015-11-08,43
2015-11-15,41
2015-11-22,42
2015-11-29,40
2015-12-06,40
2015-12-13,42
2015-12-20,45
2015-12-27,44
2016-01-03,42
2016-01-10,39
2016-01-17,41
2016-01-24,39
2016-01-31,43
2016-02-07,42
2016-02-14,42
2016-02-21,40
2016-02-28,42
2016-03-06,41
2016-03-13,43
2016-03-20,42
2016-03-27,43
2016-04-03,43
2016-04-10,43
2016-04-17,42
2016-04-24,42
2016-05-01,43
2016-05-08,42
2016-05-15,42
2016-05-22,43
2016-05-29,45
2016-06-05,47
2016-06-12,46
2016-06-19,49
2016-06-26,50
2016-07-03,53
2016-07-10,52
2016-07-17,53
2016-07-24,52
2016-07-31,55
2016-08-07,54
2016-08-14,52
2016-08-21,56
2016-08-28,55
2016-09-04,58
2016-09-11,57
2016-09-18,58
2016-09-25,64
2016-10-02,68
2016-10-09,62
2016-10-16,67
2016-10-23,64
2016-10-30,66
2016-11-06,61
2016-11-13,58
2016-11-20,60
2016-11-27,62
2016-12-04,63
2016-12-11,62
2016-12-18,70
2016-12-25,71
2017-01-01,66
2017-01-08,62
2017-01-15,60
2017-01-22,62
2017-01-29,61
2017-02-05,61
2017-02-12,58
2017-02-19,60
2017-02-26,60
2017-03-05,60
2017-03-12,59
2017-03-19,64
2017-03-26,67
2017-04-02,62
2017-04-09,69
2017-04-16,63
2017-04-23,62
2017-04-30,64
2017-05-07,65
2017-05-14,69
2017-05-21,68
2017-05-28,68
2017-06-04,71
2017-06-11,73
2017-06-18,75
2017-06-25,77
2017-07-02,79
2017-07-09,79
2017-07-16,76
2017-07-23,75
2017-07-30,74
2017-08-06,74
2017-08-13,74
2017-08-20,72
2017-08-27,69
2017-09-03,67
2017-09-10,69
2017-09-17,72
2017-09-24,68
2017-10-01,72
2017-10-08,76
2017-10-15,69
2017-10-22,72
2017-10-29,71
2017-11-05,72
2017-11-12,71
2017-11-19,70
2017-11-26,70
2017-12-03,74
2017-12-10,70
2017-12-17,75
2017-12-24,80
2017-12-31,74
2018-01-07,75
2018-01-14,77
2018-01-21,73
2018-01-28,72
2018-02-04,74
2018-02-11,72
2018-02-18,71
2018-02-25,71
2018-03-04,71
2018-03-11,75
2018-03-18,77
2018-03-25,83
2018-04-01,76
2018-04-08,75
2018-04-15,76
2018-04-22,74
2018-04-29,77
2018-05-06,74
2018-05-13,76
2018-05-20,83
2018-05-27,78
2018-06-03,78
2018-06-10,80
2018-06-17,78
2018-06-24,86
2018-07-01,77
2018-07-08,94
2018-07-15,89
2018-07-22,86
2018-07-29,86
2018-08-05,86
2018-08-12,88
2018-08-19,100
2018-08-26,90
2018-09-02,88
2018-09-09,84
2018-09-16,91
2018-09-23,88
2018-09-30,87
2018-10-07,98
2018-10-14,90
2018-10-21,96
2018-10-28,100
2018-11-04,90
2018-11-11,89
2018-11-18,86
2018-11-25,87
2018-12-02,87
2018-12-09,85
2018-12-16,89
2018-12-23,94
2018-12-30,87
2019-01-06,84
2019-01-13,81
2019-01-20,87
2019-01-27,83
2019-02-03,80
2019-02-10,79
2019-02-17,82
2019-02-24,77
2019-03-03,82
2019-03-10,80
2019-03-17,82
2019-03-24,81
2019-03-31,80
2019-04-07,76
2019-04-14,79
2019-04-21,81
2019-04-28,79
2019-05-05,75
2019-05-12,82
2019-05-19,77
2019-05-26,79
2019-06-02,79
2019-06-09,82
2019-06-16,80
2019-06-23,84
2019-06-30,77
2019-07-07,82
2019-07-14,90
2019-07-21,91
2019-07-28,88
2019-08-04,85
2019-08-11,82
2019-08-18,88
2019-08-25,88
2019-09-01,85
2019-09-08,84
2019-09-15,84
2019-09-22,87
2019-09-29,92
2019-10-06,82
2019-10-13,84
2019-10-20,83
2019-10-27,78
2019-11-03,80
2019-11-10,76
2019-11-17,77
2019-11-24,77
2019-12-01,71
2019-12-08,71
2019-12-15,69
2019-12-22,78
2019-12-29,79
2020-01-05,75
