,Education
2023-01-01,44
2023-01-08,62
2023-01-15,70
2023-01-22,67
2023-01-29,62
2023-02-05,64
2023-02-12,63
2023-02-19,65
2023-02-26,61
2023-03-05,60
2023-03-12,62
2023-03-19,49
2023-03-26,54
2023-04-02,57
2023-04-09,60
2023-04-16,47
2023-04-23,57
2023-04-30,69
2023-05-07,66
2023-05-14,72
2023-05-21,67
2023-05-28,73
2023-06-04,61
2023-06-11,56
2023-06-18,50
2023-06-25,32
2023-07-02,46
2023-07-09,42
2023-07-16,43
2023-07-23,39
2023-07-30,56
2023-08-06,77
2023-08-13,90
2023-08-20,82
2023-08-27,78
2023-09-03,73
2023-09-10,72
2023-09-17,78
2023-09-24,69
2023-10-01,70
2023-10-08,74
2023-10-15,63
2023-10-22,78
2023-10-29,75
2023-11-05,75
2023-11-12,80
2023-11-19,82
2023-11-26,78
2023-12-03,79
2023-12-10,67
2023-12-17,66
2023-12-24,50
2023-12-31,53
2024-01-07,74
2024-01-14,76
2024-01-21,81
2024-01-28,88
2024-02-04,83
2024-02-11,75
2024-02-18,82
2024-02-25,79
2024-03-03,73
2024-03-10,60
2024-03-17,71
2024-03-24,67
2024-03-31,59
2024-04-07,46
2024-04-14,78
2024-04-21,72
2024-04-28,82
2024-05-05,67
2024-05-12,63
2024-05-19,68
2024-05-26,85
2024-06-02,81
2024-06-09,68
2024-06-16,40
2024-06-23,70
2024-06-30,72
2024-07-07,73
2024-07-14,78
2024-07-21,82
2024-07-28,73
2024-08-04,83
2024-08-11,100
2024-08-18,89
2024-08-25,88
2024-09-01,82
2024-09-08,89
2024-09-15,81
2024-09-22,69
2024-09-29,65
2024-10-06,86
2024-10-13,79
2024-10-20,71
2024-10-27,77
2024-11-03,67
2024-11-10,63
2024-11-17,69
2024-11-24,73
2024-12-01,76
2024-12-08,75
2024-12-15,69
2024-12-22,57
2024-12-29,54
2025-01-05,73
2025-01-12,74
2025-01-19,82
2025-01-26,84
2025-02-02,84
2025-02-09,93
2025-02-16,65
2025-02-23,60
2025-03-02,54
2025-03-09,52
2025-03-16,45
2025-03-23,44
2025-03-30,46
2025-04-06,86
2025-04-13,88
2025-04-20,86
2025-04-27,87
2025-05-04,86
2025-05-11,78
2025-05-18,78
2025-05-25,73
2025-06-01,63
2025-06-08,65
2025-06-15,76
2025-06-22,80
2025-06-29,77
2025-07-06,86
2025-07-13,70
2025-07-20,56
2025-07-27,49
2025-08-03,61
2025-08-10,73
2025-08-17,86
2025-08-24,77
2025-08-31,67
2025-09-07,72
2025-09-14,75
2025-09-21,67
2025-09-28,75
2025-10-05,81
2025-10-12,78
2025-10-19,82
2025-10-26,72
2025-11-02,63
2025-11-09,69
2025-11-16,77
2025-11-23,74
2025-11-30,80
2025-12-07,82
2025-12-14,66
2025-12-21,64
2025-12-28,53
2026-01-04,57
