,Investing
2023-01-01,49
2023-01-08,61
2023-01-15,52
2023-01-22,49
2023-01-29,63
2023-02-05,56
2023-02-12,54
2023-02-19,55
2023-02-26,53
2023-03-05,60
2023-03-12,61
2023-03-19,53
2023-03-26,50
2023-04-02,56
2023-04-09,52
2023-04-16,45
2023-04-23,56
2023-04-30,45
2023-05-07,47
2023-05-14,59
2023-05-21,43
2023-05-28,56
2023-06-04,41
2023-06-11,57
2023-06-18,49
2023-06-25,47
2023-07-02,43
2023-07-09,55
2023-07-16,67
2023-07-23,62
2023-07-30,62
2023-08-06,61
2023-08-13,57
2023-08-20,57
2023-08-27,49
2023-09-03,51
2023-09-10,50
2023-09-17,49
2023-09-24,35
2023-10-01,46
2023-10-08,41
2023-10-15,56
2023-10-22,50
2023-10-29,55
2023-11-05,61
2023-11-12,40
2023-11-19,59
2023-11-26,55
2023-12-03,72
2023-12-10,65
2023-12-17,64
2023-12-24,64
2023-12-31,56
2024-01-07,60
2024-01-14,78
2024-01-21,54
2024-01-28,58
2024-02-04,73
2024-02-11,67
2024-02-18,51
2024-02-25,61
2024-03-03,68
2024-03-10,56
2024-03-17,55
2024-03-24,56
2024-03-31,62
2024-04-07,62
2024-04-14,66
2024-04-21,60
2024-04-28,52
2024-05-05,59
2024-05-12,59
2024-05-19,61
2024-05-26,51
2024-06-02,65
2024-06-09,60
2024-06-16,48
2024-06-23,72
2024-06-30,53
2024-07-07,72
2024-07-14,64
2024-07-21,68
2024-07-28,76
2024-08-04,77
2024-08-11,65
2024-08-18,65
2024-08-25,67
2024-09-01,63
2024-09-08,53
2024-09-15,65
2024-09-22,54
2024-09-29,61
2024-10-06,61
2024-10-13,71
2024-10-20,72
2024-10-27,72
2024-11-03,62
2024-11-10,76
2024-11-17,65
2024-11-24,76
2024-12-01,66
2024-12-08,67
2024-12-15,77
2024-12-22,58
2024-12-29,61
2025-01-05,81
2025-01-12,66
2025-01-19,62
2025-01-26,83
2025-02-02,80
2025-02-09,62
2025-02-16,61
2025-02-23,71
2025-03-02,61
2025-03-09,65
2025-03-16,61
2025-03-23,58
2025-03-30,70
2025-04-06,100
2025-04-13,86
2025-04-20,75
2025-04-27,64
2025-05-04,64
2025-05-11,76
2025-05-18,74
2025-05-25,60
2025-06-01,65
2025-06-08,60
2025-06-15,71
2025-06-22,72
2025-06-29,54
2025-07-06,65
2025-07-13,60
2025-07-20,57
2025-07-27,42
2025-08-03,61
2025-08-10,67
2025-08-17,52
2025-08-24,54
2025-08-31,50
2025-09-07,53
2025-09-14,56
2025-09-21,56
2025-09-28,69
2025-10-05,69
2025-10-12,76
2025-10-19,69
2025-10-26,71
2025-11-02,68
2025-11-09,61
2025-11-16,68
2025-11-23,51
2025-11-30,63
2025-12-07,55
2025-12-14,61
2025-12-21,76
2025-12-28,76
2026-01-04,59
