,Travel
2023-01-01,71
2023-01-08,68
2023-01-15,75
2023-01-22,76
2023-01-29,76
2023-02-05,69
2023-02-12,65
2023-02-19,68
2023-02-26,69
2023-03-05,65
2023-03-12,64
2023-03-19,66
2023-03-26,64
2023-04-02,71
2023-04-09,96
2023-04-16,72
2023-04-23,69
2023-04-30,71
2023-05-07,66
2023-05-14,61
2023-05-21,64
2023-05-28,67
2023-06-04,66
2023-06-11,64
2023-06-18,70
2023-06-25,75
2023-07-02,71
2023-07-09,70
2023-07-16,72
2023-07-23,71
2023-07-30,76
2023-08-06,79
2023-08-13,78
2023-08-20,80
2023-08-27,73
2023-09-03,67
2023-09-10,65
2023-09-17,66
2023-09-24,76
2023-10-01,62
2023-10-08,61
2023-10-15,61
2023-10-22,70
2023-10-29,60
2023-11-05,63
2023-11-12,74
2023-11-19,67
2023-11-26,69
2023-12-03,70
2023-12-10,73
2023-12-17,81
2023-12-24,87
2023-12-31,78
2024-01-07,79
2024-01-14,77
2024-01-21,76
2024-01-28,77
2024-02-04,77
2024-02-11,73
2024-02-18,75
2024-02-25,70
2024-03-03,71
2024-03-10,67
2024-03-17,75
2024-03-24,75
2024-03-31,78
2024-04-07,99
2024-04-14,81
2024-04-21,71
2024-04-28,76
2024-05-05,74
2024-05-12,71
2024-05-19,69
2024-05-26,66
2024-06-02,62
2024-06-09,67
2024-06-16,73
2024-06-23,66
2024-06-30,70
2024-07-07,72
2024-07-14,79
2024-07-21,76
2024-07-28,73
2024-08-04,75
2024-08-11,89
2024-08-18,81
2024-08-25,74
2024-09-01,71
2024-09-08,75
2024-09-15,70
2024-09-22,67
2024-09-29,62
2024-10-06,65
2024-10-13,77
2024-10-20,73
2024-10-27,74
2024-11-03,67
2024-11-10,69
2024-11-17,66
2024-11-24,69
2024-12-01,66
2024-12-08,77
2024-12-15,78
2024-12-22,85
2024-12-29,84
2025-01-05,79
2025-01-12,77
2025-01-19,70
2025-01-26,70
2025-02-02,71
2025-02-09,71
2025-02-16,70
2025-02-23,67
2025-03-02,73
2025-03-09,77
2025-03-16,72
2025-03-23,72
2025-03-30,78
2025-04-06,73
2025-04-13,100
2025-04-20,75
2025-04-27,72
2025-05-04,72
2025-05-11,68
2025-05-18,62
2025-05-25,63
2025-06-01,67
2025-06-08,71
2025-06-15,69
2025-06-22,69
2025-06-29,67
2025-07-06,76
2025-07-13,73
2025-07-20,72
2025-07-27,76
2025-08-03,81
2025-08-10,81
2025-08-17,76
2025-08-24,75
2025-08-31,70
2025-09-07,64
2025-09-14,66
2025-09-21,64
2025-09-28,64
2025-10-05,66
2025-10-12,70
2025-10-19,64
2025-10-26,60
2025-11-02,67
2025-11-09,69
2025-11-16,71
2025-11-23,69
2025-11-30,61
2025-12-07,62
2025-12-14,69
2025-12-21,77
2025-12-28,78
