,Economy News
2014-12-28,27
2015-01-04,28
2015-01-11,26
2015-01-18,26
2015-01-25,25
2015-02-01,28
2015-02-08,26
2015-02-15,27
2015-02-22,27
2015-03-01,26
2015-03-08,25
2015-03-15,24
2015-03-22,28
2015-03-29,26
2015-04-05,27
2015-04-12,24
2015-04-19,25
2015-04-26,25
2015-05-03,25
2015-05-10,27
2015-05-17,26
2015-05-24,27
2015-05-31,28
2015-06-07,27
2015-06-14,26
2015-06-21,32
2015-06-28,46
2015-07-05,46
2015-07-12,43
2015-07-19,45
2015-07-26,46
2015-08-02,46
2015-08-09,43
2015-08-16,48
2015-08-23,48
2015-08-30,45
2015-09-06,46
2015-09-13,43
2015-09-20,39
2015-09-27,43
2015-10-04,41
2015-10-11,39
2015-10-18,30
2015-10-25,42
2015-11-01,36
2015-11-08,26
2015-11-15,30
2015-11-22,29
2015-11-29,36
2015-12-06,31
2015-12-13,34
2015-12-20,29
2015-12-27,32
2016-01-03,32
2016-01-10,32
2016-01-17,35
2016-01-24,27
2016-01-31,30
2016-02-07,32
2016-02-14,32
2016-02-21,29
2016-02-28,32
2016-03-06,27
2016-03-13,28
2016-03-20,23
2016-03-27,29
2016-04-03,32
2016-04-10,29
2016-04-17,25
2016-04-24,29
2016-05-01,28
2016-05-08,27
2016-05-15,28
2016-05-22,27
2016-05-29,32
2016-06-05,31
2016-06-12,31
2016-06-19,37
2016-06-26,34
2016-07-03,33
2016-07-10,29
2016-07-17,33
2016-07-24,35
2016-07-31,37
2016-08-07,31
2016-08-14,31
2016-08-21,32
2016-08-28,35
2016-09-04,33
2016-09-11,34
2016-09-18,33
2016-09-25,33
2016-10-02,32
2016-10-09,25
2016-10-16,29
2016-10-23,26
2016-10-30,28
2016-11-06,40
2016-11-13,39
2016-11-20,40
2016-11-27,46
2016-12-04,43
2016-12-11,42
2016-12-18,42
2016-12-25,38
2017-01-01,35
2017-01-08,31
2017-01-15,34
2017-01-22,30
2017-01-29,37
2017-02-05,33
2017-02-12,33
2017-02-19,29
2017-02-26,34
2017-03-05,29
2017-03-12,27
2017-03-19,28
2017-03-26,28
2017-04-02,28
2017-04-09,29
2017-04-16,28
2017-04-23,29
2017-04-30,30
2017-05-07,28
2017-05-14,29
2017-05-21,29
2017-05-28,39
2017-06-04,33
2017-06-11,32
2017-06-18,43
2017-06-25,35
2017-07-02,36
2017-07-09,36
2017-07-16,37
2017-07-23,33
2017-07-30,34
2017-08-06,33
2017-08-13,33
2017-08-20,34
2017-08-27,40
2017-09-03,38
2017-09-10,40
2017-09-17,40
2017-09-24,34
2017-10-01,37
2017-10-08,36
2017-10-15,27
2017-10-22,35
2017-10-29,38
2017-11-05,35
2017-11-12,35
2017-11-19,32
2017-11-26,38
2017-12-03,32
2017-12-10,34
2017-12-17,33
2017-12-24,35
2017-12-31,34
2018-01-07,33
2018-01-14,36
2018-01-21,43
2018-01-28,42
2018-02-04,39
2018-02-11,50
2018-02-18,43
2018-02-25,40
2018-03-04,38
2018-03-11,39
2018-03-18,38
2018-03-25,34
2018-04-01,36
2018-04-08,30
2018-04-15,34
2018-04-22,29
2018-04-29,27
2018-05-06,30
2018-05-13,33
2018-05-20,34
2018-05-27,40
2018-06-03,35
2018-06-10,31
2018-06-17,27
2018-06-24,31
2018-07-01,31
2018-07-08,34
2018-07-15,33
2018-07-22,32
2018-07-29,39
2018-08-05,39
2018-08-12,39
2018-08-19,36
2018-08-26,43
2018-09-02,46
2018-09-09,41
2018-09-16,39
2018-09-23,44
2018-09-30,39
2018-10-07,40
2018-10-14,32
2018-10-21,36
2018-10-28,41
2018-11-04,26
2018-11-11,35
2018-11-18,32
2018-11-25,36
2018-12-02,36
2018-12-09,37
2018-12-16,37
2018-12-23,36
2018-12-30,37
2019-01-06,38
2019-01-13,37
2019-01-20,39
2019-01-27,42
2019-02-03,41
2019-02-10,41
2019-02-17,40
2019-02-24,47
2019-03-03,38
2019-03-10,38
2019-03-17,38
2019-03-24,47
2019-03-31,43
2019-04-07,38
2019-04-14,34
2019-04-21,36
2019-04-28,39
2019-05-05,45
2019-05-12,42
2019-05-19,41
2019-05-26,46
2019-06-02,53
2019-06-09,48
2019-06-16,45
2019-06-23,43
2019-06-30,41
2019-07-07,46
2019-07-14,45
2019-07-21,44
2019-07-28,52
2019-08-04,53
2019-08-11,47
2019-08-18,57
2019-08-25,74
2019-09-01,100
2019-09-08,61
2019-09-15,61
2019-09-22,52
2019-09-29,47
2019-10-06,39
2019-10-13,47
2019-10-20,40
2019-10-27,39
2019-11-03,45
2019-11-10,44
2019-11-17,43
2019-11-24,57
2019-12-01,54
2019-12-08,46
2019-12-15,54
2019-12-22,45
2019-12-29,51
2020-01-05,53
