,Apparel
2014-12-28,61
2015-01-04,59
2015-01-11,61
2015-01-18,63
2015-01-25,65
2015-02-01,62
2015-02-08,65
2015-02-15,64
2015-02-22,70
2015-03-01,69
2015-03-08,65
2015-03-15,66
2015-03-22,65
2015-03-29,75
2015-04-05,76
2015-04-12,75
2015-04-19,80
2015-04-26,81
2015-05-03,83
2015-05-10,78
2015-05-17,74
2015-05-24,70
2015-05-31,68
2015-06-07,58
2015-06-14,45
2015-06-21,54
2015-06-28,62
2015-07-05,77
2015-07-12,83
2015-07-19,81
2015-07-26,74
2015-08-02,84
2015-08-09,84
2015-08-16,83
2015-08-23,81
2015-08-30,81
2015-09-06,85
2015-09-13,79
2015-09-20,68
2015-09-27,77
2015-10-04,80
2015-10-11,77
2015-10-18,73
2015-10-25,71
2015-11-01,77
2015-11-08,90
2015-11-15,79
2015-11-22,72
2015-11-29,72
2015-12-06,71
2015-12-13,71
2015-12-20,79
2015-12-27,81
2016-01-03,73
2016-01-10,73
2016-01-17,66
2016-01-24,71
2016-01-31,73
2016-02-07,77
2016-02-14,70
2016-02-21,65
2016-02-28,76
2016-03-06,75
2016-03-13,73
2016-03-20,75
2016-03-27,77
2016-04-03,83
2016-04-10,76
2016-04-17,77
2016-04-24,90
2016-05-01,100
2016-05-08,85
2016-05-15,79
2016-05-22,69
2016-05-29,66
2016-06-05,57
2016-06-12,74
2016-06-19,77
2016-06-26,77
2016-07-03,80
2016-07-10,88
2016-07-17,86
2016-07-24,81
2016-07-31,87
2016-08-07,60
2016-08-14,94
2016-08-21,90
2016-08-28,56
2016-09-04,82
2016-09-11,70
2016-09-18,39
2016-09-25,31
2016-10-02,29
2016-10-09,27
2016-10-16,30
2016-10-23,28
2016-10-30,29
2016-11-06,25
2016-11-13,28
2016-11-20,27
2016-11-27,27
2016-12-04,27
2016-12-11,27
2016-12-18,28
2016-12-25,29
2017-01-01,29
2017-01-08,27
2017-01-15,29
2017-01-22,26
2017-01-29,40
2017-02-05,67
2017-02-12,66
2017-02-19,69
2017-02-26,60
2017-03-05,65
2017-03-12,72
2017-03-19,70
2017-03-26,67
2017-04-02,68
2017-04-09,76
2017-04-16,72
2017-04-23,74
2017-04-30,76
2017-05-07,74
2017-05-14,56
2017-05-21,53
2017-05-28,49
2017-06-04,51
2017-06-11,56
2017-06-18,56
2017-06-25,49
2017-07-02,63
2017-07-09,63
2017-07-16,68
2017-07-23,54
2017-07-30,63
2017-08-06,64
2017-08-13,68
2017-08-20,68
2017-08-27,55
2017-09-03,53
2017-09-10,57
2017-09-17,55
2017-09-24,61
2017-10-01,62
2017-10-08,62
2017-10-15,62
2017-10-22,60
2017-10-29,63
2017-11-05,67
2017-11-12,70
2017-11-19,67
2017-11-26,62
2017-12-03,60
2017-12-10,58
2017-12-17,61
2017-12-24,71
2017-12-31,67
2018-01-07,63
2018-01-14,60
2018-01-21,61
2018-01-28,63
2018-02-04,57
2018-02-11,66
2018-02-18,69
2018-02-25,63
2018-03-04,66
2018-03-11,67
2018-03-18,64
2018-03-25,69
2018-04-01,71
2018-04-08,70
2018-04-15,69
2018-04-22,72
2018-04-29,73
2018-05-06,68
2018-05-13,54
2018-05-20,56
2018-05-27,60
2018-06-03,62
2018-06-10,58
2018-06-17,63
2018-06-24,64
2018-07-01,69
2018-07-08,67
2018-07-15,70
2018-07-22,73
2018-07-29,71
2018-08-05,77
2018-08-12,71
2018-08-19,56
2018-08-26,66
2018-09-02,62
2018-09-09,66
2018-09-16,62
2018-09-23,64
2018-09-30,70
2018-10-07,73
2018-10-14,69
2018-10-21,72
2018-10-28,77
2018-11-04,64
2018-11-11,63
2018-11-18,68
2018-11-25,68
2018-12-02,63
2018-12-09,81
2018-12-16,74
2018-12-23,81
2018-12-30,76
2019-01-06,78
2019-01-13,70
2019-01-20,67
2019-01-27,78
2019-02-03,67
2019-02-10,77
2019-02-17,75
2019-02-24,75
2019-03-03,76
2019-03-10,71
2019-03-17,81
2019-03-24,78
2019-03-31,69
2019-04-07,69
2019-04-14,71
2019-04-21,71
2019-04-28,66
2019-05-05,58
2019-05-12,59
2019-05-19,64
2019-05-26,65
2019-06-02,65
2019-06-09,77
2019-06-16,67
2019-06-23,76
2019-06-30,70
2019-07-07,70
2019-07-14,74
2019-07-21,73
2019-07-28,66
2019-08-04,66
2019-08-11,63
2019-08-18,66
2019-08-25,70
2019-09-01,64
2019-09-08,67
2019-09-15,65
2019-09-22,60
2019-09-29,63
2019-10-06,63
2019-10-13,65
2019-10-20,73
2019-10-27,72
2019-11-03,66
2019-11-10,72
2019-11-17,68
2019-11-24,71
2019-12-01,66
2019-12-08,67
2019-12-15,69
2019-12-22,80
2019-12-29,81
2020-01-05,71
