,Apartments & Residential Rentals
2014-12-28,32
2015-01-04,27
2015-01-11,32
2015-01-18,43
2015-01-25,34
2015-02-01,29
2015-02-08,41
2015-02-15,43
2015-02-22,41
2015-03-01,33
2015-03-08,49
2015-03-15,24
2015-03-22,33
2015-03-29,29
2015-04-05,24
2015-04-12,31
2015-04-19,30
2015-04-26,42
2015-05-03,20
2015-05-10,23
2015-05-17,32
2015-05-24,26
2015-05-31,31
2015-06-07,24
2015-06-14,26
2015-06-21,36
2015-06-28,34
2015-07-05,39
2015-07-12,28
2015-07-19,32
2015-07-26,39
2015-08-02,25
2015-08-09,29
2015-08-16,45
2015-08-23,27
2015-08-30,31
2015-09-06,31
2015-09-13,21
2015-09-20,29
2015-09-27,33
2015-10-04,45
2015-10-11,52
2015-10-18,35
2015-10-25,47
2015-11-01,25
2015-11-08,53
2015-11-15,61
2015-11-22,43
2015-11-29,58
2015-12-06,48
2015-12-13,41
2015-12-20,28
2015-12-27,30
2016-01-03,54
2016-01-10,55
2016-01-17,32
2016-01-24,34
2016-01-31,33
2016-02-07,48
2016-02-14,36
2016-02-21,32
2016-02-28,35
2016-03-06,44
2016-03-13,47
2016-03-20,48
2016-03-27,42
2016-04-03,32
2016-04-10,41
2016-04-17,52
2016-04-24,42
2016-05-01,40
2016-05-08,35
2016-05-15,52
2016-05-22,40
2016-05-29,23
2016-06-05,37
2016-06-12,36
2016-06-19,34
2016-06-26,48
2016-07-03,36
2016-07-10,40
2016-07-17,33
2016-07-24,44
2016-07-31,45
2016-08-07,24
2016-08-14,42
2016-08-21,56
2016-08-28,28
2016-09-04,37
2016-09-11,39
2016-09-18,34
2016-09-25,20
2016-10-02,0
2016-10-09,24
2016-10-16,25
2016-10-23,18
2016-10-30,0
2016-11-06,28
2016-11-13,25
2016-11-20,20
2016-11-27,21
2016-12-04,0
2016-12-11,22
2016-12-18,19
2016-12-25,26
2017-01-01,20
2017-01-08,0
2017-01-15,22
2017-01-22,24
2017-01-29,36
2017-02-05,64
2017-02-12,56
2017-02-19,42
2017-02-26,37
2017-03-05,42
2017-03-12,53
2017-03-19,42
2017-03-26,60
2017-04-02,45
2017-04-09,52
2017-04-16,50
2017-04-23,36
2017-04-30,30
2017-05-07,44
2017-05-14,28
2017-05-21,21
2017-05-28,20
2017-06-04,18
2017-06-11,38
2017-06-18,24
2017-06-25,33
2017-07-02,42
2017-07-09,47
2017-07-16,50
2017-07-23,39
2017-07-30,38
2017-08-06,45
2017-08-13,41
2017-08-20,26
2017-08-27,45
2017-09-03,43
2017-09-10,41
2017-09-17,47
2017-09-24,36
2017-10-01,45
2017-10-08,52
2017-10-15,47
2017-10-22,31
2017-10-29,55
2017-11-05,60
2017-11-12,28
2017-11-19,45
2017-11-26,30
2017-12-03,29
2017-12-10,46
2017-12-17,47
2017-12-24,64
2017-12-31,47
2018-01-07,41
2018-01-14,42
2018-01-21,45
2018-01-28,37
2018-02-04,48
2018-02-11,55
2018-02-18,42
2018-02-25,46
2018-03-04,36
2018-03-11,59
2018-03-18,35
2018-03-25,56
2018-04-01,38
2018-04-08,44
2018-04-15,39
2018-04-22,44
2018-04-29,53
2018-05-06,61
2018-05-13,32
2018-05-20,42
2018-05-27,43
2018-06-03,32
2018-06-10,32
2018-06-17,38
2018-06-24,50
2018-07-01,34
2018-07-08,43
2018-07-15,43
2018-07-22,46
2018-07-29,53
2018-08-05,37
2018-08-12,47
2018-08-19,44
2018-08-26,62
2018-09-02,39
2018-09-09,48
2018-09-16,43
2018-09-23,55
2018-09-30,56
2018-10-07,59
2018-10-14,54
2018-10-21,55
2018-10-28,49
2018-11-04,71
2018-11-11,73
2018-11-18,61
2018-11-25,70
2018-12-02,67
2018-12-09,78
2018-12-16,78
2018-12-23,100
2018-12-30,80
2019-01-06,71
2019-01-13,77
2019-01-20,78
2019-01-27,62
2019-02-03,80
2019-02-10,81
2019-02-17,59
2019-02-24,87
2019-03-03,73
2019-03-10,57
2019-03-17,65
2019-03-24,54
2019-03-31,50
2019-04-07,47
2019-04-14,65
2019-04-21,53
2019-04-28,60
2019-05-05,44
2019-05-12,46
2019-05-19,55
2019-05-26,32
2019-06-02,51
2019-06-09,66
2019-06-16,50
2019-06-23,73
2019-06-30,58
2019-07-07,66
2019-07-14,65
2019-07-21,68
2019-07-28,55
2019-08-04,60
2019-08-11,55
2019-08-18,44
2019-08-25,43
2019-09-01,50
2019-09-08,51
2019-09-15,63
2019-09-22,64
2019-09-29,48
2019-10-06,53
2019-10-13,58
2019-10-20,56
2019-10-27,61
2019-11-03,64
2019-11-10,77
2019-11-17,66
2019-11-24,73
2019-12-01,79
2019-12-08,72
2019-12-15,56
2019-12-22,78
2019-12-29,54
2020-01-05,59
