,College Financing
2023-01-01,0
2023-01-08,0
2023-01-15,48
2023-01-22,0
2023-01-29,66
2023-02-05,49
2023-02-12,51
2023-02-19,74
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,54
2023-04-30,100
2023-05-07,57
2023-05-14,92
2023-05-21,54
2023-05-28,51
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,51
2023-07-23,0
2023-07-30,0
2023-08-06,83
2023-08-13,0
2023-08-20,65
2023-08-27,0
2023-09-03,0
2023-09-10,48
2023-09-17,63
2023-09-24,67
2023-10-01,57
2023-10-08,52
2023-10-15,0
2023-10-22,53
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,86
2023-11-26,0
2023-12-03,0
2023-12-10,62
2023-12-17,0
2023-12-24,0
2023-12-31,54
2024-01-07,0
2024-01-14,72
2024-01-21,82
2024-01-28,66
2024-02-04,0
2024-02-11,67
2024-02-18,95
2024-02-25,55
2024-03-03,54
2024-03-10,0
2024-03-17,0
2024-03-24,61
2024-03-31,72
2024-04-07,0
2024-04-14,54
2024-04-21,0
2024-04-28,97
2024-05-05,60
2024-05-12,59
2024-05-19,61
2024-05-26,0
2024-06-02,0
2024-06-09,89
2024-06-16,0
2024-06-23,0
2024-06-30,72
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,76
2024-08-04,0
2024-08-11,84
2024-08-18,58
2024-08-25,55
2024-09-01,0
2024-09-08,0
2024-09-15,0
2024-09-22,91
2024-09-29,0
2024-10-06,53
2024-10-13,0
2024-10-20,0
2024-10-27,0
2024-11-03,57
2024-11-10,0
2024-11-17,0
2024-11-24,58
2024-12-01,68
2024-12-08,79
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,0
2025-01-12,62
2025-01-19,57
2025-01-26,58
2025-02-02,0
2025-02-09,94
2025-02-16,77
2025-02-23,0
2025-03-02,0
2025-03-09,64
2025-03-16,0
2025-03-23,0
2025-03-30,0
2025-04-06,0
2025-04-13,0
2025-04-20,74
2025-04-27,84
2025-05-04,100
2025-05-11,72
2025-05-18,0
2025-05-25,0
2025-06-01,0
2025-06-08,58
2025-06-15,0
2025-06-22,0
2025-06-29,63
2025-07-06,71
2025-07-13,0
2025-07-20,0
2025-07-27,0
2025-08-03,57
2025-08-10,0
2025-08-17,89
2025-08-24,76
2025-08-31,59
2025-09-07,54
2025-09-14,54
2025-09-21,87
2025-09-28,54
2025-10-05,0
2025-10-12,0
2025-10-19,56
2025-10-26,59
2025-11-02,0
2025-11-09,69
2025-11-16,0
2025-11-23,68
2025-11-30,0
2025-12-07,0
2025-12-14,72
2025-12-21,72
2025-12-28,58
2026-01-04,62
