,Luggage
2023-01-01,50
2023-01-08,57
2023-01-15,62
2023-01-22,60
2023-01-29,55
2023-02-05,65
2023-02-12,50
2023-02-19,52
2023-02-26,62
2023-03-05,51
2023-03-12,52
2023-03-19,56
2023-03-26,49
2023-04-02,56
2023-04-09,53
2023-04-16,54
2023-04-23,52
2023-04-30,64
2023-05-07,57
2023-05-14,59
2023-05-21,44
2023-05-28,48
2023-06-04,56
2023-06-11,58
2023-06-18,61
2023-06-25,61
2023-07-02,63
2023-07-09,65
2023-07-16,70
2023-07-23,60
2023-07-30,76
2023-08-06,64
2023-08-13,76
2023-08-20,73
2023-08-27,63
2023-09-03,75
2023-09-10,59
2023-09-17,65
2023-09-24,66
2023-10-01,57
2023-10-08,53
2023-10-15,49
2023-10-22,43
2023-10-29,45
2023-11-05,56
2023-11-12,58
2023-11-19,55
2023-11-26,58
2023-12-03,66
2023-12-10,62
2023-12-17,60
2023-12-24,63
2023-12-31,59
2024-01-07,66
2024-01-14,64
2024-01-21,73
2024-01-28,54
2024-02-04,59
2024-02-11,59
2024-02-18,64
2024-02-25,69
2024-03-03,62
2024-03-10,64
2024-03-17,51
2024-03-24,60
2024-03-31,66
2024-04-07,64
2024-04-14,63
2024-04-21,66
2024-04-28,72
2024-05-05,50
2024-05-12,53
2024-05-19,60
2024-05-26,42
2024-06-02,54
2024-06-09,65
2024-06-16,69
2024-06-23,52
2024-06-30,71
2024-07-07,62
2024-07-14,71
2024-07-21,68
2024-07-28,66
2024-08-04,77
2024-08-11,86
2024-08-18,78
2024-08-25,71
2024-09-01,80
2024-09-08,69
2024-09-15,57
2024-09-22,57
2024-09-29,60
2024-10-06,54
2024-10-13,53
2024-10-20,57
2024-10-27,60
2024-11-03,76
2024-11-10,61
2024-11-17,54
2024-11-24,67
2024-12-01,67
2024-12-08,66
2024-12-15,78
2024-12-22,62
2024-12-29,65
2025-01-05,82
2025-01-12,80
2025-01-19,79
2025-01-26,73
2025-02-02,64
2025-02-09,70
2025-02-16,69
2025-02-23,72
2025-03-02,64
2025-03-09,69
2025-03-16,67
2025-03-23,66
2025-03-30,63
2025-04-06,63
2025-04-13,67
2025-04-20,65
2025-04-27,59
2025-05-04,52
2025-05-11,70
2025-05-18,49
2025-05-25,61
2025-06-01,55
2025-06-08,64
2025-06-15,57
2025-06-22,50
2025-06-29,70
2025-07-06,58
2025-07-13,67
2025-07-20,75
2025-07-27,66
2025-08-03,81
2025-08-10,84
2025-08-17,77
2025-08-24,66
2025-08-31,66
2025-09-07,72
2025-09-14,74
2025-09-21,62
2025-09-28,66
2025-10-05,70
2025-10-12,66
2025-10-19,52
2025-10-26,62
2025-11-02,74
2025-11-09,89
2025-11-16,78
2025-11-23,88
2025-11-30,100
2025-12-07,86
2025-12-14,85
2025-12-21,66
2025-12-28,74
