,Food & Drink
2023-01-01,73
2023-01-08,68
2023-01-15,68
2023-01-22,75
2023-01-29,72
2023-02-05,69
2023-02-12,78
2023-02-19,75
2023-02-26,71
2023-03-05,69
2023-03-12,70
2023-03-19,70
2023-03-26,65
2023-04-02,70
2023-04-09,72
2023-04-16,74
2023-04-23,74
2023-04-30,69
2023-05-07,72
2023-05-14,71
2023-05-21,71
2023-05-28,72
2023-06-04,72
2023-06-11,74
2023-06-18,73
2023-06-25,76
2023-07-02,71
2023-07-09,77
2023-07-16,75
2023-07-23,77
2023-07-30,78
2023-08-06,82
2023-08-13,80
2023-08-20,77
2023-08-27,78
2023-09-03,84
2023-09-10,69
2023-09-17,75
2023-09-24,74
2023-10-01,74
2023-10-08,69
2023-10-15,70
2023-10-22,71
2023-10-29,71
2023-11-05,75
2023-11-12,80
2023-11-19,78
2023-11-26,73
2023-12-03,77
2023-12-10,80
2023-12-17,86
2023-12-24,93
2023-12-31,83
2024-01-07,77
2024-01-14,74
2024-01-21,72
2024-01-28,79
2024-02-04,78
2024-02-11,80
2024-02-18,77
2024-02-25,79
2024-03-03,76
2024-03-10,75
2024-03-17,81
2024-03-24,85
2024-03-31,76
2024-04-07,77
2024-04-14,75
2024-04-21,71
2024-04-28,78
2024-05-05,74
2024-05-12,81
2024-05-19,71
2024-05-26,79
2024-06-02,77
2024-06-09,79
2024-06-16,79
2024-06-23,77
2024-06-30,78
2024-07-07,81
2024-07-14,86
2024-07-21,84
2024-07-28,84
2024-08-04,82
2024-08-11,89
2024-08-18,84
2024-08-25,83
2024-09-01,80
2024-09-08,79
2024-09-15,76
2024-09-22,72
2024-09-29,78
2024-10-06,80
2024-10-13,77
2024-10-20,78
2024-10-27,79
2024-11-03,77
2024-11-10,80
2024-11-17,80
2024-11-24,79
2024-12-01,83
2024-12-08,86
2024-12-15,87
2024-12-22,100
2024-12-29,94
2025-01-05,83
2025-01-12,84
2025-01-19,77
2025-01-26,79
2025-02-02,81
2025-02-09,84
2025-02-16,78
2025-02-23,78
2025-03-02,83
2025-03-09,80
2025-03-16,82
2025-03-23,84
2025-03-30,81
2025-04-06,77
2025-04-13,74
2025-04-20,77
2025-04-27,78
2025-05-04,76
2025-05-11,71
2025-05-18,79
2025-05-25,79
2025-06-01,84
2025-06-08,79
2025-06-15,82
2025-06-22,80
2025-06-29,84
2025-07-06,83
2025-07-13,81
2025-07-20,84
2025-07-27,83
2025-08-03,85
2025-08-10,86
2025-08-17,83
2025-08-24,79
2025-08-31,80
2025-09-07,77
2025-09-14,80
2025-09-21,81
2025-09-28,79
2025-10-05,76
2025-10-12,80
2025-10-19,79
2025-10-26,77
2025-11-02,75
2025-11-09,77
2025-11-16,81
2025-11-23,75
2025-11-30,71
