,Pharmacy
2014-12-28,53
2015-01-04,65
2015-01-11,49
2015-01-18,51
2015-01-25,71
2015-02-01,69
2015-02-08,65
2015-02-15,66
2015-02-22,41
2015-03-01,45
2015-03-08,53
2015-03-15,71
2015-03-22,64
2015-03-29,69
2015-04-05,52
2015-04-12,43
2015-04-19,44
2015-04-26,50
2015-05-03,65
2015-05-10,60
2015-05-17,51
2015-05-24,49
2015-05-31,54
2015-06-07,69
2015-06-14,55
2015-06-21,43
2015-06-28,58
2015-07-05,57
2015-07-12,59
2015-07-19,53
2015-07-26,53
2015-08-02,60
2015-08-09,64
2015-08-16,69
2015-08-23,68
2015-08-30,70
2015-09-06,62
2015-09-13,60
2015-09-20,49
2015-09-27,48
2015-10-04,60
2015-10-11,56
2015-10-18,61
2015-10-25,60
2015-11-01,56
2015-11-08,71
2015-11-15,47
2015-11-22,43
2015-11-29,50
2015-12-06,62
2015-12-13,60
2015-12-20,59
2015-12-27,64
2016-01-03,58
2016-01-10,58
2016-01-17,60
2016-01-24,61
2016-01-31,46
2016-02-07,67
2016-02-14,51
2016-02-21,61
2016-02-28,61
2016-03-06,48
2016-03-13,64
2016-03-20,70
2016-03-27,49
2016-04-03,53
2016-04-10,60
2016-04-17,56
2016-04-24,79
2016-05-01,62
2016-05-08,49
2016-05-15,66
2016-05-22,60
2016-05-29,63
2016-06-05,60
2016-06-12,55
2016-06-19,57
2016-06-26,61
2016-07-03,55
2016-07-10,66
2016-07-17,75
2016-07-24,59
2016-07-31,75
2016-08-07,53
2016-08-14,63
2016-08-21,49
2016-08-28,32
2016-09-04,65
2016-09-11,51
2016-09-18,43
2016-09-25,29
2016-10-02,0
2016-10-09,41
2016-10-16,24
2016-10-23,26
2016-10-30,20
2016-11-06,18
2016-11-13,0
2016-11-20,26
2016-11-27,22
2016-12-04,0
2016-12-11,19
2016-12-18,23
2016-12-25,35
2017-01-01,17
2017-01-08,15
2017-01-15,23
2017-01-22,26
2017-01-29,38
2017-02-05,66
2017-02-12,73
2017-02-19,68
2017-02-26,61
2017-03-05,61
2017-03-12,57
2017-03-19,70
2017-03-26,57
2017-04-02,74
2017-04-09,75
2017-04-16,63
2017-04-23,62
2017-04-30,67
2017-05-07,62
2017-05-14,66
2017-05-21,35
2017-05-28,47
2017-06-04,40
2017-06-11,44
2017-06-18,33
2017-06-25,58
2017-07-02,64
2017-07-09,49
2017-07-16,62
2017-07-23,56
2017-07-30,58
2017-08-06,56
2017-08-13,68
2017-08-20,53
2017-08-27,47
2017-09-03,55
2017-09-10,56
2017-09-17,66
2017-09-24,74
2017-10-01,60
2017-10-08,64
2017-10-15,71
2017-10-22,41
2017-10-29,72
2017-11-05,56
2017-11-12,89
2017-11-19,66
2017-11-26,67
2017-12-03,51
2017-12-10,59
2017-12-17,66
2017-12-24,67
2017-12-31,58
2018-01-07,62
2018-01-14,66
2018-01-21,77
2018-01-28,59
2018-02-04,66
2018-02-11,55
2018-02-18,76
2018-02-25,61
2018-03-04,69
2018-03-11,75
2018-03-18,69
2018-03-25,67
2018-04-01,65
2018-04-08,77
2018-04-15,76
2018-04-22,63
2018-04-29,71
2018-05-06,70
2018-05-13,57
2018-05-20,71
2018-05-27,61
2018-06-03,59
2018-06-10,60
2018-06-17,53
2018-06-24,69
2018-07-01,60
2018-07-08,83
2018-07-15,64
2018-07-22,63
2018-07-29,62
2018-08-05,73
2018-08-12,68
2018-08-19,66
2018-08-26,87
2018-09-02,67
2018-09-09,50
2018-09-16,63
2018-09-23,65
2018-09-30,67
2018-10-07,66
2018-10-14,66
2018-10-21,83
2018-10-28,74
2018-11-04,71
2018-11-11,63
2018-11-18,72
2018-11-25,53
2018-12-02,76
2018-12-09,60
2018-12-16,83
2018-12-23,82
2018-12-30,87
2019-01-06,78
2019-01-13,85
2019-01-20,87
2019-01-27,87
2019-02-03,79
2019-02-10,82
2019-02-17,90
2019-02-24,84
2019-03-03,78
2019-03-10,67
2019-03-17,81
2019-03-24,81
2019-03-31,72
2019-04-07,66
2019-04-14,93
2019-04-21,80
2019-04-28,65
2019-05-05,54
2019-05-12,53
2019-05-19,60
2019-05-26,59
2019-06-02,71
2019-06-09,59
2019-06-16,84
2019-06-23,79
2019-06-30,80
2019-07-07,97
2019-07-14,81
2019-07-21,72
2019-07-28,90
2019-08-04,74
2019-08-11,63
2019-08-18,90
2019-08-25,91
2019-09-01,83
2019-09-08,75
2019-09-15,69
2019-09-22,66
2019-09-29,79
2019-10-06,77
2019-10-13,88
2019-10-20,86
2019-10-27,78
2019-11-03,89
2019-11-10,79
2019-11-17,91
2019-11-24,87
2019-12-01,83
2019-12-08,76
2019-12-15,83
2019-12-22,89
2019-12-29,91
2020-01-05,100
