,Coatings & Adhesives
2023-01-01,57
2023-01-08,58
2023-01-15,57
2023-01-22,65
2023-01-29,62
2023-02-05,65
2023-02-12,65
2023-02-19,64
2023-02-26,75
2023-03-05,52
2023-03-12,56
2023-03-19,56
2023-03-26,54
2023-04-02,53
2023-04-09,54
2023-04-16,55
2023-04-23,55
2023-04-30,54
2023-05-07,55
2023-05-14,55
2023-05-21,58
2023-05-28,57
2023-06-04,59
2023-06-11,62
2023-06-18,62
2023-06-25,66
2023-07-02,64
2023-07-09,63
2023-07-16,65
2023-07-23,66
2023-07-30,64
2023-08-06,62
2023-08-13,60
2023-08-20,63
2023-08-27,62
2023-09-03,61
2023-09-10,62
2023-09-17,60
2023-09-24,62
2023-10-01,60
2023-10-08,59
2023-10-15,58
2023-10-22,52
2023-10-29,58
2023-11-05,51
2023-11-12,47
2023-11-19,54
2023-11-26,56
2023-12-03,57
2023-12-10,62
2023-12-17,63
2023-12-24,63
2023-12-31,68
2024-01-07,69
2024-01-14,64
2024-01-21,57
2024-01-28,61
2024-02-04,63
2024-02-11,62
2024-02-18,60
2024-02-25,73
2024-03-03,58
2024-03-10,60
2024-03-17,56
2024-03-24,56
2024-03-31,56
2024-04-07,55
2024-04-14,55
2024-04-21,55
2024-04-28,57
2024-05-05,55
2024-05-12,57
2024-05-19,61
2024-05-26,61
2024-06-02,58
2024-06-09,61
2024-06-16,60
2024-06-23,62
2024-06-30,62
2024-07-07,58
2024-07-14,65
2024-07-21,75
2024-07-28,91
2024-08-04,100
2024-08-11,70
2024-08-18,62
2024-08-25,63
2024-09-01,62
2024-09-08,61
2024-09-15,63
2024-09-22,59
2024-09-29,54
2024-10-06,50
2024-10-13,55
2024-10-20,58
2024-10-27,47
2024-11-03,53
2024-11-10,55
2024-11-17,55
2024-11-24,55
2024-12-01,55
2024-12-08,58
2024-12-15,59
2024-12-22,62
2024-12-29,58
2025-01-05,59
2025-01-12,53
2025-01-19,60
2025-01-26,58
2025-02-02,59
2025-02-09,55
2025-02-16,71
2025-02-23,54
2025-03-02,51
2025-03-09,48
2025-03-16,57
2025-03-23,55
2025-03-30,53
2025-04-06,55
2025-04-13,55
2025-04-20,58
2025-04-27,56
2025-05-04,51
2025-05-11,57
2025-05-18,58
2025-05-25,66
2025-06-01,60
2025-06-08,59
2025-06-15,63
2025-06-22,62
2025-06-29,59
2025-07-06,60
2025-07-13,63
2025-07-20,63
2025-07-27,62
2025-08-03,59
2025-08-10,56
2025-08-17,61
2025-08-24,60
2025-08-31,55
2025-09-07,60
2025-09-14,60
2025-09-21,59
2025-09-28,50
2025-10-05,57
2025-10-12,56
2025-10-19,45
2025-10-26,53
2025-11-02,54
2025-11-09,51
2025-11-16,55
2025-11-23,53
2025-11-30,54
2025-12-07,53
2025-12-14,59
2025-12-21,58
2025-12-28,56
2026-01-04,58
