,Fashion & Style
2023-01-01,73
2023-01-08,72
2023-01-15,72
2023-01-22,74
2023-01-29,61
2023-02-05,71
2023-02-12,69
2023-02-19,72
2023-02-26,70
2023-03-05,74
2023-03-12,71
2023-03-19,73
2023-03-26,79
2023-04-02,81
2023-04-09,73
2023-04-16,71
2023-04-23,69
2023-04-30,66
2023-05-07,61
2023-05-14,70
2023-05-21,69
2023-05-28,63
2023-06-04,68
2023-06-11,68
2023-06-18,74
2023-06-25,67
2023-07-02,67
2023-07-09,71
2023-07-16,70
2023-07-23,69
2023-07-30,68
2023-08-06,70
2023-08-13,69
2023-08-20,68
2023-08-27,68
2023-09-03,70
2023-09-10,65
2023-09-17,66
2023-09-24,67
2023-10-01,69
2023-10-08,63
2023-10-15,61
2023-10-22,64
2023-10-29,71
2023-11-05,65
2023-11-12,65
2023-11-19,66
2023-11-26,71
2023-12-03,68
2023-12-10,75
2023-12-17,79
2023-12-24,73
2023-12-31,72
2024-01-07,71
2024-01-14,64
2024-01-21,65
2024-01-28,71
2024-02-04,67
2024-02-11,71
2024-02-18,68
2024-02-25,69
2024-03-03,76
2024-03-10,69
2024-03-17,75
2024-03-24,87
2024-03-31,77
2024-04-07,75
2024-04-14,70
2024-04-21,65
2024-04-28,71
2024-05-05,73
2024-05-12,70
2024-05-19,67
2024-05-26,65
2024-06-02,65
2024-06-09,76
2024-06-16,65
2024-06-23,66
2024-06-30,68
2024-07-07,70
2024-07-14,71
2024-07-21,66
2024-07-28,71
2024-08-04,67
2024-08-11,71
2024-08-18,66
2024-08-25,66
2024-09-01,70
2024-09-08,70
2024-09-15,64
2024-09-22,63
2024-09-29,69
2024-10-06,68
2024-10-13,68
2024-10-20,68
2024-10-27,72
2024-11-03,70
2024-11-10,67
2024-11-17,69
2024-11-24,75
2024-12-01,73
2024-12-08,80
2024-12-15,81
2024-12-22,82
2024-12-29,77
2025-01-05,70
2025-01-12,71
2025-01-19,67
2025-01-26,68
2025-02-02,68
2025-02-09,69
2025-02-16,67
2025-02-23,72
2025-03-02,74
2025-03-09,72
2025-03-16,78
2025-03-23,78
2025-03-30,78
2025-04-06,73
2025-04-13,63
2025-04-20,71
2025-04-27,73
2025-05-04,72
2025-05-11,68
2025-05-18,70
2025-05-25,70
2025-06-01,64
2025-06-08,69
2025-06-15,70
2025-06-22,69
2025-06-29,67
2025-07-06,85
2025-07-13,68
2025-07-20,70
2025-07-27,66
2025-08-03,68
2025-08-10,71
2025-08-17,72
2025-08-24,70
2025-08-31,67
2025-09-07,62
2025-09-14,69
2025-09-21,63
2025-09-28,61
2025-10-05,67
2025-10-12,71
2025-10-19,70
2025-10-26,65
2025-11-02,66
2025-11-09,65
2025-11-16,70
2025-11-23,67
2025-11-30,63
2025-12-07,73
2025-12-14,72
2025-12-21,77
2025-12-28,100
