,Health Insurance
2014-12-28,34
2015-01-04,43
2015-01-11,39
2015-01-18,43
2015-01-25,38
2015-02-01,38
2015-02-08,39
2015-02-15,43
2015-02-22,42
2015-03-01,42
2015-03-08,48
2015-03-15,44
2015-03-22,45
2015-03-29,43
2015-04-05,42
2015-04-12,39
2015-04-19,43
2015-04-26,40
2015-05-03,38
2015-05-10,39
2015-05-17,40
2015-05-24,36
2015-05-31,38
2015-06-07,39
2015-06-14,40
2015-06-21,49
2015-06-28,54
2015-07-05,52
2015-07-12,49
2015-07-19,49
2015-07-26,52
2015-08-02,51
2015-08-09,49
2015-08-16,51
2015-08-23,46
2015-08-30,50
2015-09-06,50
2015-09-13,45
2015-09-20,46
2015-09-27,44
2015-10-04,48
2015-10-11,47
2015-10-18,43
2015-10-25,47
2015-11-01,43
2015-11-08,31
2015-11-15,43
2015-11-22,39
2015-11-29,41
2015-12-06,47
2015-12-13,48
2015-12-20,44
2015-12-27,44
2016-01-03,44
2016-01-10,41
2016-01-17,44
2016-01-24,41
2016-01-31,45
2016-02-07,46
2016-02-14,46
2016-02-21,47
2016-02-28,47
2016-03-06,45
2016-03-13,49
2016-03-20,38
2016-03-27,44
2016-04-03,43
2016-04-10,43
2016-04-17,45
2016-04-24,42
2016-05-01,45
2016-05-08,40
2016-05-15,42
2016-05-22,46
2016-05-29,44
2016-06-05,47
2016-06-12,47
2016-06-19,49
2016-06-26,50
2016-07-03,49
2016-07-10,54
2016-07-17,52
2016-07-24,54
2016-07-31,54
2016-08-07,51
2016-08-14,47
2016-08-21,52
2016-08-28,52
2016-09-04,50
2016-09-11,50
2016-09-18,54
2016-09-25,51
2016-10-02,54
2016-10-09,48
2016-10-16,54
2016-10-23,45
2016-10-30,46
2016-11-06,51
2016-11-13,56
2016-11-20,50
2016-11-27,57
2016-12-04,55
2016-12-11,58
2016-12-18,58
2016-12-25,58
2017-01-01,62
2017-01-08,58
2017-01-15,61
2017-01-22,54
2017-01-29,58
2017-02-05,61
2017-02-12,61
2017-02-19,57
2017-02-26,58
2017-03-05,55
2017-03-12,54
2017-03-19,61
2017-03-26,58
2017-04-02,60
2017-04-09,61
2017-04-16,59
2017-04-23,56
2017-04-30,57
2017-05-07,54
2017-05-14,55
2017-05-21,59
2017-05-28,56
2017-06-04,61
2017-06-11,61
2017-06-18,62
2017-06-25,58
2017-07-02,65
2017-07-09,68
2017-07-16,65
2017-07-23,66
2017-07-30,61
2017-08-06,56
2017-08-13,60
2017-08-20,61
2017-08-27,58
2017-09-03,60
2017-09-10,69
2017-09-17,63
2017-09-24,56
2017-10-01,58
2017-10-08,66
2017-10-15,49
2017-10-22,67
2017-10-29,64
2017-11-05,67
2017-11-12,64
2017-11-19,58
2017-11-26,60
2017-12-03,63
2017-12-10,63
2017-12-17,66
2017-12-24,64
2017-12-31,63
2018-01-07,68
2018-01-14,68
2018-01-21,63
2018-01-28,73
2018-02-04,69
2018-02-11,67
2018-02-18,74
2018-02-25,66
2018-03-04,77
2018-03-11,84
2018-03-18,89
2018-03-25,92
2018-04-01,81
2018-04-08,92
2018-04-15,68
2018-04-22,62
2018-04-29,65
2018-05-06,66
2018-05-13,63
2018-05-20,66
2018-05-27,68
2018-06-03,69
2018-06-10,69
2018-06-17,71
2018-06-24,69
2018-07-01,74
2018-07-08,77
2018-07-15,78
2018-07-22,82
2018-07-29,78
2018-08-05,77
2018-08-12,75
2018-08-19,81
2018-08-26,84
2018-09-02,84
2018-09-09,82
2018-09-16,90
2018-09-23,91
2018-09-30,87
2018-10-07,90
2018-10-14,77
2018-10-21,87
2018-10-28,90
2018-11-04,65
2018-11-11,87
2018-11-18,82
2018-11-25,85
2018-12-02,88
2018-12-09,85
2018-12-16,91
2018-12-23,82
2018-12-30,85
2019-01-06,91
2019-01-13,80
2019-01-20,83
2019-01-27,90
2019-02-03,85
2019-02-10,92
2019-02-17,93
2019-02-24,88
2019-03-03,84
2019-03-10,95
2019-03-17,90
2019-03-24,99
2019-03-31,86
2019-04-07,82
2019-04-14,74
2019-04-21,76
2019-04-28,75
2019-05-05,77
2019-05-12,79
2019-05-19,77
2019-05-26,81
2019-06-02,77
2019-06-09,82
2019-06-16,84
2019-06-23,89
2019-06-30,88
2019-07-07,86
2019-07-14,94
2019-07-21,94
2019-07-28,93
2019-08-04,87
2019-08-11,79
2019-08-18,98
2019-08-25,94
2019-09-01,86
2019-09-08,96
2019-09-15,99
2019-09-22,98
2019-09-29,92
2019-10-06,90
2019-10-13,96
2019-10-20,84
2019-10-27,81
2019-11-03,94
2019-11-10,97
2019-11-17,100
2019-11-24,90
2019-12-01,95
2019-12-08,88
2019-12-15,90
2019-12-22,87
2019-12-29,91
2020-01-05,91
