,Financial crisis
2023-01-01,42
2023-01-08,54
2023-01-15,46
2023-01-22,75
2023-01-29,76
2023-02-05,100
2023-02-12,65
2023-02-19,68
2023-02-26,60
2023-03-05,54
2023-03-12,52
2023-03-19,48
2023-03-26,43
2023-04-02,25
2023-04-09,25
2023-04-16,41
2023-04-23,45
2023-04-30,35
2023-05-07,44
2023-05-14,55
2023-05-21,47
2023-05-28,56
2023-06-04,45
2023-06-11,49
2023-06-18,43
2023-06-25,37
2023-07-02,37
2023-07-09,27
2023-07-16,32
2023-07-23,31
2023-07-30,22
2023-08-06,32
2023-08-13,28
2023-08-20,22
2023-08-27,20
2023-09-03,33
2023-09-10,20
2023-09-17,19
2023-09-24,20
2023-10-01,16
2023-10-08,32
2023-10-15,26
2023-10-22,27
2023-10-29,21
2023-11-05,21
2023-11-12,33
2023-11-19,36
2023-11-26,28
2023-12-03,24
2023-12-10,17
2023-12-17,16
2023-12-24,14
2023-12-31,20
2024-01-07,28
2024-01-14,36
2024-01-21,22
2024-01-28,16
2024-02-04,26
2024-02-11,25
2024-02-18,30
2024-02-25,20
2024-03-03,16
2024-03-10,31
2024-03-17,30
2024-03-24,16
2024-03-31,17
2024-04-07,0
2024-04-14,16
2024-04-21,16
2024-04-28,22
2024-05-05,27
2024-05-12,38
2024-05-19,0
2024-05-26,0
2024-06-02,18
2024-06-09,13
2024-06-16,16
2024-06-23,15
2024-06-30,13
2024-07-07,27
2024-07-14,27
2024-07-21,21
2024-07-28,0
2024-08-04,13
2024-08-11,19
2024-08-18,22
2024-08-25,33
2024-09-01,11
2024-09-08,23
2024-09-15,25
2024-09-22,0
2024-09-29,17
2024-10-06,0
2024-10-13,0
2024-10-20,12
2024-10-27,23
2024-11-03,27
2024-11-10,18
2024-11-17,15
2024-11-24,23
2024-12-01,15
2024-12-08,17
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,16
2025-01-12,15
2025-01-19,19
2025-01-26,0
2025-02-02,0
2025-02-09,15
2025-02-16,0
2025-02-23,0
2025-03-02,0
2025-03-09,15
2025-03-16,0
2025-03-23,0
2025-03-30,14
2025-04-06,0
2025-04-13,0
2025-04-20,0
2025-04-27,0
2025-05-04,13
2025-05-11,14
2025-05-18,0
2025-05-25,0
2025-06-01,14
2025-06-08,0
2025-06-15,0
2025-06-22,13
2025-06-29,0
2025-07-06,0
2025-07-13,0
2025-07-20,0
2025-07-27,0
2025-08-03,19
2025-08-10,0
2025-08-17,0
2025-08-24,0
2025-08-31,0
2025-09-07,0
2025-09-14,0
2025-09-21,0
2025-09-28,0
2025-10-05,0
2025-10-12,0
2025-10-19,0
2025-10-26,0
2025-11-02,0
2025-11-09,0
2025-11-16,15
2025-11-23,0
2025-11-30,0
2025-12-07,11
2025-12-14,0
2025-12-21,0
2025-12-28,12
