,Financial crisis
2023-01-01,39
2023-01-08,49
2023-01-15,44
2023-01-22,71
2023-01-29,70
2023-02-05,100
2023-02-12,61
2023-02-19,74
2023-02-26,62
2023-03-05,58
2023-03-12,53
2023-03-19,44
2023-03-26,41
2023-04-02,24
2023-04-09,24
2023-04-16,42
2023-04-23,44
2023-04-30,33
2023-05-07,46
2023-05-14,54
2023-05-21,47
2023-05-28,58
2023-06-04,45
2023-06-11,35
2023-06-18,46
2023-06-25,35
2023-07-02,40
2023-07-09,23
2023-07-16,27
2023-07-23,24
2023-07-30,30
2023-08-06,34
2023-08-13,23
2023-08-20,26
2023-08-27,22
2023-09-03,30
2023-09-10,18
2023-09-17,18
2023-09-24,19
2023-10-01,19
2023-10-08,29
2023-10-15,24
2023-10-22,29
2023-10-29,17
2023-11-05,21
2023-11-12,37
2023-11-19,31
2023-11-26,27
2023-12-03,24
2023-12-10,22
2023-12-17,16
2023-12-24,0
2023-12-31,24
2024-01-07,28
2024-01-14,35
2024-01-21,20
2024-01-28,16
2024-02-04,21
2024-02-11,25
2024-02-18,31
2024-02-25,20
2024-03-03,11
2024-03-10,23
2024-03-17,32
2024-03-24,15
2024-03-31,24
2024-04-07,13
2024-04-14,12
2024-04-21,23
2024-04-28,24
2024-05-05,24
2024-05-12,37
2024-05-19,14
2024-05-26,14
2024-06-02,16
2024-06-09,11
2024-06-16,16
2024-06-23,14
2024-06-30,11
2024-07-07,27
2024-07-14,28
2024-07-21,23
2024-07-28,19
2024-08-04,19
2024-08-11,18
2024-08-18,20
2024-08-25,35
2024-09-01,12
2024-09-08,20
2024-09-15,23
2024-09-22,14
2024-09-29,19
2024-10-06,0
2024-10-13,0
2024-10-20,14
2024-10-27,23
2024-11-03,19
2024-11-10,17
2024-11-17,0
2024-11-24,20
2024-12-01,19
2024-12-08,0
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,13
2025-01-12,14
2025-01-19,0
2025-01-26,0
2025-02-02,0
2025-02-09,21
2025-02-16,0
2025-02-23,0
2025-03-02,0
2025-03-09,13
2025-03-16,0
2025-03-23,0
2025-03-30,13
2025-04-06,13
2025-04-13,0
2025-04-20,0
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,0
2025-05-25,0
2025-06-01,0
2025-06-08,0
2025-06-15,0
2025-06-22,18
2025-06-29,0
2025-07-06,0
2025-07-13,0
2025-07-20,0
2025-07-27,12
2025-08-03,13
2025-08-10,0
2025-08-17,0
2025-08-24,0
2025-08-31,0
2025-09-07,13
2025-09-14,0
2025-09-21,11
2025-09-28,0
2025-10-05,0
2025-10-12,0
2025-10-19,0
2025-10-26,0
2025-11-02,0
2025-11-09,0
2025-11-16,22
2025-11-23,0
2025-11-30,0
2025-12-07,0
2025-12-14,0
2025-12-21,0
2025-12-28,0
2026-01-04,12
2026-01-11,0
2026-01-18,0
2026-01-25,5
