,Accounting___Auditing,Acting___Theater,Advertising___Marketing,Agricultural_Equipment,Agriculture___Forestry,Agrochemicals,Alcoholic_Beverages,Animal_Products___Services,Apartments___Residential_Rentals,Apparel,Aquaculture,Architecture,Auto_Financing,Autos___Vehicles,Aviation,Boats___Watercraft,Book_Retailers,Building_Materials___Supplies,Business___Industrial,Business_News,Business_Operations,Business_Services,CAD___CAM,Car_Electronics,Car_Rental___Taxi_Services,Carpooling___Ridesharing,Chemicals_Industry,Civil_Engineering,Coatings___Adhesives,College_Financing,Commercial_Lending,Commercial_Vehicles,Computer_Hardware,Computer_Security,Computer_Servers,Computers___Electronics,Construction___Maintenance,Construction_Consulting___Contracting,Consulting,Consumer_Electronics,Corporate_Events,Credit___Lending,Cruises___Charters,Customer_Relationship_Management__CRM_,Data_Management
2015-12-31,-1.2540478482734971,-1.288371726977346,-1.2015517192352623,-0.3833381496278254,-0.8534927336628879,-1.363628464334941,-0.9692397998341731,-0.7213209605544053,-0.8453345459614252,-0.879310416688829,-0.8029009475468283,-1.1598278758638627,-0.7791609602437548,-1.026044498861038,-1.5560400387347486,-1.1755762328320016,-1.318677076472675,-0.9562134043576984,-1.1378359048491542,-1.19359473833468,-1.0967953549788878,-1.2187484046972101,-1.2228291176825468,-1.0928845169868882,-0.7001525361169265,-1.1755762328320016,-0.9330145956606906,-1.1755762328320016,-1.0324753891913283,-1.1755762328320016,-1.2374516365500892,-0.5936546873822803,-1.274016305645254,-1.214290745012692,-1.4632583052837833,-1.233395803720828,-1.0492825075077095,-1.0214255530047431,-0.8434423978093868,-1.1383048380347698,-1.1474053558653052,-1.0771361600187492,-1.3454752696273986,-1.2991901887991784,-1.2033557969390771
2016-03-31,-1.0672546278376396,-0.8899596979404154,-1.0200684074007822,-0.7152049066190409,-0.87928186397968,-0.7753022860991182,-0.9182210071521985,-0.9436529422897677,-0.8815811305011725,-0.8880686543520693,-1.0224057602281111,-0.902732205349809,-1.1156834395658919,-0.8887746045708524,-1.0738826104912114,-0.6656511679495704,-1.3927173932222106,-0.9105598959421658,-0.9740197647218778,-1.0047362774461226,-0.9651430062823899,-1.0411543936987766,-1.0736163255144482,-1.0932324644617493,-0.8821359472333075,-1.4819603404742514,-0.8753050591654229,-0.9609215507545861,-0.8937316851475722,-1.0823020610442309,-1.2008647676991364,-0.8402039355638287,-1.2123049193571385,-1.1622500260472723,-1.1886173210215625,-1.1633730531835655,-0.9302962940793139,-0.9294287695674845,-0.9893149363350923,-1.088941577316359,-0.9747238184332508,-1.107337149023825,-0.9566788535936157,-0.650764841268653,-1.0600200653189553
2016-06-30,-0.8794710389756322,-0.8119395005301612,-0.9769103056645932,-0.8196003222700308,-0.9108821548749713,-0.5569898920020687,-0.9201053873925111,-0.9160259879527609,-0.7864865627798726,-0.8266379998726058,-0.9787543646890493,-0.9788650370782934,-1.0206399423921542,-0.9447630711690448,-1.0128084039797944,-0.5203098852435427,-0.23065492628111478,-0.9525719759908747,-0.9783753790182885,-0.927623580363079,-0.9715835769147875,-1.017678810968682,-1.1415356180805625,-1.0476251397306746,-0.7960716809219668,-1.0484891516277164,-0.8014970422989767,-0.8652204795745869,-0.944710369686613,-0.9138016535732703,-0.9211473501661799,-0.779364990879138,-1.154683980716091,-1.0943618229553893,-1.1841759596038357,-1.1159546554496056,-0.9405837106507781,-0.6586972707733024,-0.8480044648440119,-1.0525784395782172,-0.9931232434894787,-0.9731570066715304,-0.9727636007783043,-0.6176368990153646,-1.0971899331554336
2016-09-30,-0.7171366053254824,-0.5832718656479791,-0.8174289987237342,-0.6600056428615848,-0.728623253797868,-0.4373076582438135,-0.7522874164172144,-0.7189044552185813,-0.6272630344822682,-0.6886634871094736,-0.7978519424255571,-0.7979791113976474,-0.8821041323840663,-0.7325543503252938,-0.8134514155266819,-0.6833534468943827,-1.187858755881448,-0.7973547907633604,-0.8213433374484169,-0.8652749743362468,-0.8811719640441744,-0.8832946437867382,-0.8932999391129735,-0.7214745815046439,-0.7114727519697595,-0.5840023107693081,-0.7321051504284417,-0.8260739088617098,-0.6021445637783897,-0.8398081282433624,-0.907466076211021,-0.5358449586030719,-1.00764224241298,-0.9497702805949777,-1.0447598509767542,-0.9717732076592398,-0.8071182962036875,-0.8196206918179497,-0.7943625824008225,-0.8643590465178638,-0.7859174629697224,-0.8492687119896941,-0.8567139291152807,-0.9587028167305417,-0.8742816466436468
2016-12-31,-0.5744987941141312,-0.7038617187199948,-0.6473109597479788,-0.4492132420070835,-0.5643232465009506,-0.1786829625213619,-0.5981504994499794,-0.6124160373427074,-0.5382790994700758,-0.5397473542496146,-0.5940014433661276,-0.4895794922512153,-0.7062617835562985,-0.5715298877423526,-0.6311746669767697,-0.6449579431031707,-0.6488914505243673,-0.6061057329792233,-0.6408075609440004,-0.6976590414879126,-0.7173399303941463,-0.6517289429981005,-0.8385620027602846,-0.5862616980877541,-0.6169932118170008,-0.4350439962204922,-0.6021640745240837,-0.4980780202610131,-0.6352323827352812,-0.6865085095166157,-0.7935315772137146,0.15658251209298635,-0.827954710202644,-0.7468742002451143,-0.9166489454206335,-0.8129328833470199,-0.6288607426477958,-0.720039996890972,-0.5912020649836234,-0.6700779046237566,-0.7645299142067634,-0.6172407229303365,-0.6190839519984396,-0.5023167810723829,-0.7405149217184994
2017-03-31,-0.400346329745814,-0.5762729014106325,-0.4974276453949471,-0.6716910450169442,-0.46233215381483367,-0.23444681029663098,-0.4295738572559479,-0.3771224262918767,-0.3711612202727169,-0.43753680955185403,-0.4496037393687562,-0.33263704767201985,-0.52307337779159,-0.5105484134303292,-0.5003500014433585,-0.7240917774195721,-0.15329337256446626,-0.42334883969330117,-0.6158151411019708,-0.5509161059304769,-0.5251101259732386,-0.5138693581418742,-0.5628758819551418,-0.3134188482844552,-0.4254756433619736,0.1222941351863763,-0.4376055978318622,-0.486755746749696,-0.4876780958319466,-0.49464386829230905,-0.4923785967898552,-0.03777423381341146,-0.5901596707372667,-0.5227024621777208,-0.6419795794551459,-0.555355667662263,-0.44953730598646047,-0.481774185761866,-0.3402111277796584,-0.44791936577197755,-0.4360221840541427,-0.4012382974394078,-0.32406766280552257,-0.13178734406423157,-0.5604828793518732
2017-06-30,-0.4248493013333959,-0.4579890406783561,-0.34409363521143416,-0.21678986303316036,-0.3298962683201345,-0.3172828595964958,-0.259089166187406,-0.2476158327376105,-0.24812529705043282,-0.29086050360656135,-0.38035178859650254,-0.25878825040680237,-0.34465377946084474,-0.3649242333683501,-0.34493023795721095,-0.7892077772835688,-0.6643537872719001,-0.24182020677934155,-0.4002783083204902,-0.3256583666042537,-0.36520516884105675,-0.3087428954076197,-0.35649119155063597,-0.21629938239365976,-0.291418136214873,-0.34278134895882223,-0.30526504428443696,-0.33800545234952345,-0.26289880919051406,-0.4122920885219451,-0.18784205912785967,-0.05114030006768111,-0.362840680154914,-0.34060209118523793,-0.4211266525482307,-0.3685549691408615,-0.2719121686113123,-0.3130569466885908,-0.1952143119954957,-0.3127593841341391,-0.2549087001078648,-0.26479927481091103,-0.15736406381339163,-0.05661442085595869,-0.3654986341425043
2017-09-30,-0.20108949623484498,-0.28932204604054124,-0.19961173512198357,-0.016398729359767623,-0.13747992804918366,-0.06884745254352974,-0.0931539018561501,-0.1325771273536858,-0.12293699459487219,-0.17301174304182554,-0.06271843857588956,-0.13845901894080834,-0.0705275092677863,-0.24859586813831594,-0.11404523174068386,-0.3578735264571155,0.47588429462625675,-0.15595283215652142,-0.2647131666887755,-0.1272722702044515,-0.14170919094496573,-0.17138785920843164,-0.2231891681133395,-0.2230123481509626,-0.15381071182126854,-0.1481076664472315,-0.07844463277664378,-0.036134078343390344,-0.25566238931417984,-0.24165809244883907,-0.2066961981026051,-0.06017781955517917,-0.13656339121884128,-0.1904289231564676,-0.2307359181332085,-0.165636870282354,-0.16104949946304775,-0.23917463079599363,-0.0020438396265473145,-0.1662012437677462,-0.19577835434253243,-0.027259367625315445,-0.0842040037880398,0.2799604438885359,-0.18542910046577443
2017-12-31,-0.10106293269772719,-0.05116799501596244,-0.13457489317089347,0.08095799658908025,-0.025864204555063348,-0.13665719069266005,0.14305998125736888,-0.004917565087433351,-0.009826643746077954,-0.0347075418034229,-0.18221820068937086,-0.09273891430713019,0.14127795799517975,-0.12556606400622358,-0.11456373023293794,0.0011266458072116364,0.025718062189318935,-0.03675500225027663,-0.1706248463123746,0.0004788622465045871,-0.025132827848458477,-0.052459346916473484,-0.1155659050912946,-0.0439634799263625,-0.04789493577527008,-0.026200281157895317,-0.00817339605454724,0.04951831379284756,-0.03287803864913893,0.0050918856581219874,0.08595354603662561,-0.4752542565537431,-0.036061013657927896,-0.06953672810615376,-0.13194444050090598,-0.054604434967604885,-0.036239960104642935,0.07917444517421036,0.03609997455821534,-0.04758779696109529,-0.031583915357100825,0.08645100768640002,-0.057797547855675334,0.12335386101293186,-0.03751892695879465
2018-03-31,-0.07364163313488377,0.020465927445554238,-0.1695273769065094,0.28772092741488653,-0.02889767097873312,-0.11825917213339088,0.16704608036307797,-0.04617410277822779,-0.0019026949630585783,-0.023268486880706634,-0.0451610499396626,-0.1615540541966435,0.18885634365930223,-0.07547168493367606,-0.06024218540925815,0.015724033110687447,0.053288113245166135,-0.052223015535906324,-0.1057963758528282,0.0686492591601154,-0.07147706362471877,-0.034913518176258686,-0.048929922291702045,-0.09007439560437584,-0.020511293563492943,-0.7274744738660114,-0.04949790137116702,-0.007786433867994639,0.01563466588435336,0.0720246401969603,-0.06166055921518043,-0.2422186861372615,-0.025736470333289557,-0.017557542853093484,-0.03632004906889167,-0.029748991192943386,-0.07840617599036455,-0.0068882795101204985,7.71922228011146e-05,-0.07753362394233439,-0.1715194570927545,0.1136570742210193,-0.02945474116177893,-0.1263216417920923,-0.13554955829138637
