,PC1_Impact,PC2_Impact
Arts___Entertainment,0.2806870726301877,-0.025332223030393453
Beauty___Fitness,0.2614752089150103,0.05413614810809932
Books___Literature,0.2521055798009288,-0.05629845104008626
Entertainment_Industry,0.2630720639524346,-0.13901126926035443
Games,0.2678382738642326,0.11013124044645187
Hobbies___Leisure,0.2809931241772192,-0.07892023392355721
Cleaning_Supplies___Services,0.274091790116497,-0.03797844475581224
Laundry,0.2755737166657617,0.048742093290207886
Astrology___Divination,0.24573537722233557,0.12800533816669568
Pets___Animals,0.27823941845159467,-0.1595769862149298
Libraries___Museums,0.24559256682302785,0.25205422875270755
Entertainment_Media,0.26892947733601713,-0.06107668748455686
Gifts___Special_Event_Items,0.27772454041091577,-0.13243151822765828
Photo___Video_Services,0.25924480500588687,0.23721846239563277
Ticket_Sales,-0.051108387654944985,0.7437860135583437
Sports,0.030446836600582186,0.46434711477837604
