,PC1,PC2,PC3,GDP_Growth
2016-03-31,-16.534265361465923,-1.8745171815981883,-1.571945320084489,6.7
2016-06-30,-15.127271947741017,-1.8477587440394467,-1.7577394671951883,4.4
2016-09-30,-12.101988509536294,-1.8439236020641152,-1.3807550861739535,2.9
2016-12-31,-8.115026117706405,-1.0903873526643324,-1.3410813806871995,6.2
2017-03-31,-3.8934396960204065,-0.5612419222833461,-0.20596018161885282,7.3
2017-06-30,0.5379606334076305,0.058735948469444264,0.6110466693674038,4.3
2017-09-30,4.637266022601012,0.1992737683970888,0.6808314208981483,6.0
2017-12-31,7.446798416984202,1.032910053220669,1.278457629458909,8.0
2018-03-31,8.001434758996732,0.8468042488377988,0.9233361977328999,3.7
2018-06-30,7.42673738930985,0.7316760051571206,0.524335733780857,5.2
2018-09-30,5.889421069166029,0.7898056572836598,0.7343884366961562,4.4
2018-12-31,4.3789013645082075,0.36744636694782,0.6868356665977126,-3.5
2019-03-31,4.937748362348181,0.49737921797815554,0.8642784117786282,-0.1
2019-06-30,5.549567201233264,0.2919234928568674,0.6637555137008576,-1.8
2019-09-30,9.126787940458815,0.9181582614951493,0.779705612082759,1.2
2019-12-31,12.246094738143297,0.9518500069419639,0.6224304497873983,-0.3
2020-03-31,13.801812783478812,2.6427013442127474,-0.8967414060754305,-0.9
2020-06-30,13.611718650161135,3.790884168264859,-4.2466335810415865,-17.1
2020-09-30,11.109240883370598,1.9275133067876067,-2.59968366606927,-1.1
2020-12-31,4.624856472448437,0.0048611160115033915,-2.877056274720405,-0.5
2021-03-31,-2.4182841816784593,-2.1967978908418413,-1.3878999090992528,5.2
2021-06-30,-8.982196486283573,-3.2140098228322467,1.5541389021044683,13.2
2021-09-30,-18.70997553971599,-3.257594523211742,-1.4080848476262644,-2.1
2021-12-31,-24.51767678101693,-1.9149174536687088,-0.047125675512082826,2.7
2022-03-31,-24.867669199572482,2.9365603761561068,-0.22084986782869295,-0.7
2022-06-30,-25.354056612247494,4.465188907531554,0.8127428227113805,-5.3
2022-09-30,-20.385704731867897,5.190546257701182,2.003117637295963,-11.1
2022-12-31,-13.041262614837947,3.0016427846172378,1.0687345237525467,-12.4
2023-03-31,-7.6872848413331925,-0.9218540082509425,0.9685515745775319,-10.7
2023-06-30,0.24307280647693552,-3.4033553501234666,0.9597285972993064,-3.1
2023-09-30,5.6944962772026955,-3.512955131323674,1.155283936480873,1.8
2023-12-31,8.810971287061687,-1.2195007742326065,0.7674830514979812,4.3
2024-03-31,10.572881858907081,-1.8073950722265075,0.5965743587793688,5.1
2024-06-30,10.4574980049972,-1.6251929920121952,0.5528302795630962,4.1
2024-09-30,10.245739209584741,-0.554447926211259,0.1802242237062345,5.3
2024-12-31,10.792781003793111,-0.1362550586950096,0.24870074482655988,5.4
2025-03-31,10.227158304516578,-0.17259257832287303,0.3545236370867201,4.8
2025-06-30,10.776818779720399,1.0795378477064805,-0.023838222622097435,4.9
2025-09-30,10.588338402147363,-0.5707017519725165,0.37335885479100855,5.4
