,Actual,Predicted
2016-06-30,0.9,-0.956080499629576
2016-09-30,0.9,0.06999075252195497
2016-12-31,-5.1,0.5560315237594051
2017-03-31,0.8,0.48518036744580717
2017-06-30,1.6,0.9624388822517695
2017-09-30,3.5,0.9562099635061737
2017-12-31,5.7,1.4288293629768885
2018-03-31,3.4,1.7179174110862356
2018-06-30,0.4,1.8769967669733094
2018-09-30,1.3,1.931214631411966
2018-12-31,0.5,2.315044128711615
2019-03-31,4.4,1.9126396518102804
2019-06-30,0.1,1.9905430535711748
2019-09-30,0.8,2.550049987945126
2019-12-31,2.4,2.167590687698957
2020-03-31,1.4,1.9959965416251328
2020-09-30,-1.3,1.2712173458443388
2020-12-31,1.4,-0.3526089466117843
2021-03-31,1.6,0.4043601661195546
2021-06-30,6.8,0.6878089854465479
2021-09-30,-3.7,-0.08001390029497157
2021-12-31,1.1,-0.4486895220568212
2022-03-31,-3.6,0.43232209812737754
2022-06-30,-0.4,1.6842800874879118
2022-09-30,-0.0,1.5860135768629253
2022-12-31,4.8,0.7802509872269073
2023-03-31,0.7,0.4779154627969675
2023-06-30,0.3,-0.11524965119602082
2023-09-30,0.0,1.6437045677704036
2023-12-31,0.1,1.346465580762989
2024-03-31,1.3,1.4850865635656105
2024-06-30,0.8,1.756304462362778
2024-09-30,1.5,1.2837460932863864
2024-12-31,2.0,1.408137847933721
2025-03-31,0.7,1.4391596043799133
2025-06-30,1.2,1.2778842311319167
2025-09-30,1.3,1.127518713744798
