,Accounting___Auditing,Acting___Theater,Advertising___Marketing,Agricultural_Equipment,Agriculture___Forestry,Agrochemicals,Alcoholic_Beverages,Animal_Products___Services,Apartments___Residential_Rentals,Apparel,Aquaculture,Architecture,Auto_Financing,Autos___Vehicles,Aviation,Boats___Watercraft,Book_Retailers,Building_Materials___Supplies,Business___Industrial,Business_News,Business_Operations,Business_Services,CAD___CAM,Car_Electronics,Car_Rental___Taxi_Services,Carpooling___Ridesharing,Chemicals_Industry,Civil_Engineering,Coatings___Adhesives,College_Financing,Commercial_Lending,Commercial_Vehicles,Computer_Hardware,Computer_Security,Computer_Servers,Computers___Electronics,Construction___Maintenance,Construction_Consulting___Contracting,Consulting,Consumer_Electronics,Corporate_Events,Credit___Lending,Cruises___Charters,Customer_Relationship_Management__CRM_,Data_Management
2016-03-06,-0.8950609496089461,-1.0037941497454104,-1.021577665234084,-0.7304389699143914,-0.9358829441292005,-0.4895958415007815,-0.8899458489421752,-1.1485098504184843,-0.8305224284713741,-0.8633122512943658,-1.205215877912785,-1.02583118079214,-1.2517358935476786,-0.8950609496089457,-0.8305224284713746,-0.849940514328476,-1.4644807376409892,-0.8703683370185735,-0.9846731082986326,-0.8255348869603356,-1.0114365254974493,-0.9771259026632495,-1.0412434597870264,-1.1827430220607265,-0.6983506553628911,-1.1182045009231554,-0.8818157228589247,-1.02583118079214,-0.674273111987195,-1.2723551807504137,-1.0781991663094561,-0.7668066140852665,-1.1753629147631037,-1.1445218092405294,-1.1045988488673761,-1.1065084611599647,-0.9524122460804114,-1.0536659797855843,-0.7046421825823717,-1.0501510376781398,-0.6953476501031219,-1.1182045009231554,-1.1380071282193351,-1.3719850216992548,-1.0737527383523218
2016-03-13,-1.1614610130049252,-0.9527993772358654,-1.0050960964398472,-0.8409891177301532,-0.9552950111740133,-0.7670235855738237,-0.8515809736018864,-1.1118640718655532,-0.9878114231955748,-0.9802877140768338,-0.99853538655855,-1.0820111087158715,-1.0568042946825256,-0.9070696592195393,-1.2722067219407327,-0.8887205205513435,-1.0888745536408546,-0.8826782060953802,-0.9799365288230053,-1.0263418984273915,-1.0473255507279822,-1.0704788557026985,-1.178113457406754,-1.2735054234219687,-1.030186040851286,-1.1118640718655532,-0.8951930350569608,-1.1550362437307617,-0.7551891279268208,-1.294185628659508,-1.3305532728303833,-0.8461609061325475,-1.3569865298985384,-1.2279362431183074,-1.2529426701254591,-1.196763515652039,-0.9577133920382943,-1.1774613543513661,-1.1724886936819878,-1.0836931948988573,-1.0858885854622926,-1.2103041446788056,-0.46672611049196844,-1.1118640718655532,-1.2881433142035448
2016-03-20,-1.4391903540200661,-0.6354135451222822,-0.9786654687288747,-0.8069241858120213,-0.9370818595488029,-0.47896136830674507,-0.9656552319928591,-0.8177351019162367,-1.0171245672223392,-0.9178185604732194,-1.0036344800580754,-0.7852496467717489,-1.1909393478061796,-0.9130452817205619,-1.2187458596750216,-0.03383355808782751,-0.8776332434973058,-0.9736478967368942,-1.0322137703447227,-1.0493277077169743,-1.105417174368018,-1.0364243028810671,-1.28035862386435,-1.1550141155073899,-0.9569971692497448,-1.105417174368018,-0.8718023231865129,-0.645884844989578,-1.2595678541952764,-1.105417174368018,-1.23171089969231,-0.9295265079043538,-1.2373447174105658,-1.1468023905308726,-1.3015320532943084,-1.2042630090046504,-1.0616145517096243,-1.0654118397543186,-1.200727354172343,-1.038277871530389,-0.745414440336611,-1.1924285513576476,-0.9069662356441799,-1.1660417961844525,-1.2666853219641405
2016-03-27,-0.7703572903725289,-0.748204485731395,-0.9920933819188584,-0.588035733578574,-0.9165398005506096,-0.8255680223448829,-1.0078895791388378,-0.9876357222343399,-0.6318383562369672,-0.9270111004179049,-1.3457214352760904,-1.1278488942178169,-1.3091567661809251,-1.0143039693165012,-0.7657169108160264,-0.4276930835033945,-5.106194542577036,-0.8757178060303548,-0.9485791542952273,-0.9678330949381602,-0.9635200094748027,-1.0118499803549343,-1.0580393628243097,-1.1156684756609452,-0.6635432860867185,-1.0988613573445645,-0.7837803107046688,-0.9260185445051539,-0.7049570716374762,-0.8111792848927837,-1.7200350382794203,-0.7887064290407251,-1.2262007797211658,-1.1386016859940784,-1.2860728994327109,-1.1919517804105761,-0.9568910960741772,-0.5666445435972562,-1.0773551521236011,-1.046217623859143,-1.2679376873884984,-1.0166232591075923,-1.159485979160999,-0.9190682469039682,-0.9006844287608158
2016-04-03,-1.0735010760241184,-0.4652954140175263,-1.0064263872788457,-0.7763402596177933,-0.8453331311047454,-0.797393668815626,-1.0487080970965321,-0.8980371945953136,-0.7523253834139196,-0.951114610776365,-0.8537821855912728,-1.141790150175643,-0.9950294605826229,-1.0513712145160161,-0.7102585983383007,-0.6647491942093313,-1.5294070154590158,-1.0388472283309778,-0.9774176944438429,-0.9586618164117477,-0.9586618164117482,-1.0456731934013783,-0.9994114755853047,-1.0121505013627345,-0.8228602752526868,-1.092193209036271,-0.9128522803804549,-0.6637385827034081,-1.1875033888405957,-0.9380425292090127,-1.877147938849339,-0.6026449837175649,-1.2998325738145153,-1.1462604303065467,-1.3666300547380308,-1.1281252182623343,-0.9524312666611117,-0.5763800437592415,-0.8202594935526291,-1.1046157290348289,-1.0675005964458992,-0.9809675739260468,-0.5876371982838755,-0.779818523994118,-1.092193209036271
2016-04-10,-0.9443290233322803,-0.9312569417649277,-0.9567902437700924,-1.0854076215921857,-1.0222287199706543,-0.18462107625399593,-0.872846179608513,-0.7669538904736508,-0.7977255491404045,-1.0476672936093387,-1.2930469863704301,-1.1056103289097052,-1.0854076215921857,-1.0198103391063729,-1.130869995668943,0.3215060267304408,-1.7015937610160026,-0.792738007629366,-1.068600503275805,-0.7977255491404045,-1.1089381190023797,-1.1705654299324926,-0.993600072339063,-1.065604994296006,-0.5827787650303731,-1.0854076215921857,-0.7599852211575575,-0.8756870906101168,-1.2457502716673652,-0.9030860647982311,-1.438228996214928,-1.180717801396511,-1.2649931985672653,-1.1161792802589394,-1.1807178013965105,-1.2049527722419686,-0.867154055572168,2.5255102910520386,-1.350100175819268,-1.0854076215921857,-1.0341143272046351,-0.951876228967663,-1.017966340796653,-1.0854076215921857,-1.1528489023877184
2016-04-17,-1.041457605760753,-1.0095060059541514,-1.1311426109265237,-0.8553553261268925,-1.030489658254742,-0.43664499126870737,-0.9002506460347837,-0.7640055475386647,-0.7997854749720816,-0.8586394013280825,-1.3080733190856022,-1.1569704928825977,-1.183859393098929,-0.9951172685020517,-0.8088353104919994,0.24078477339582838,-0.8496573050122547,-0.9506655059312172,-1.1177195905943837,-1.0598067444289496,-1.1216710493063107,-1.1391234992575376,-1.5485025066868379,-1.0784988774411022,-0.7024476545392315,-1.0784988774411022,-0.8961773206471473,-1.0166234737230146,-0.7322226407232684,-1.2326495572683605,-1.2242106886224962,-0.755725485178051,-1.3376075774488272,-1.1333071139360968,-1.2843509316452502,-1.2215997210817755,-1.0129015949552893,-1.7144876441610992,-1.2388415275162816,-1.1028903305652613,-0.9767161831311597,-1.0784988774411022,-1.3196609342579908,-1.1802815717510442,-1.2657104195292486
2016-04-24,-0.6725553125774058,-0.8986202073000005,-0.9471653034618339,-0.8537395362945404,-0.9536799844830273,-0.5803424674527533,-0.8532094541193933,-0.9581343348324074,-0.8341348338332453,-0.7713584276890724,-0.960237385029187,-0.8950065827978544,-0.6044400190318138,-0.9488606980470791,-0.9353308458148311,-0.0996024371104447,2.512055918316699,-0.7212605907062959,-0.9192712047974854,-0.9661025044815852,-0.8350742420751804,-0.9831704129937324,-1.2204985992998982,-1.0381265998718194,-1.0000040561572665,-1.071463020139411,-0.6946531677916234,-0.8403512991760245,-0.899612763212752,-0.7837809476876303,-1.253784576933366,-0.6071574120083136,-1.1320876419558465,-1.071463020139411,-1.2563853586334237,-1.1202531843088432,-0.7512954925431421,-1.1022346788061648,-0.7055287507878818,-0.9892249219024394,-0.5706877322269217,-0.9283621764987378,-1.1202531843088432,-0.6014593908936758,-1.0591929275475969
2016-05-01,-0.6659454922674,-0.712895245768812,-0.8472286273688727,-0.6289750613488554,-0.8664673892767807,-0.473424801167174,-0.8158317733082012,-0.8331814116433143,-0.5969526207804492,-0.6865306270478726,-0.8206710499489507,-0.7441256050104319,-0.6823585219087307,-0.9997546114691298,-1.0642931326067009,-0.5718166475089066,-0.9066641884031177,-0.7530805627447261,-0.8411495812924912,-0.8689843802859349,-0.8030776333430829,-0.9809115236676504,-0.9433405221890387,-0.8485845597800097,-0.8289790456722357,-1.0642931326067009,-0.7530805627447261,-0.8724021247965958,-0.6088176039238751,-0.3711459520467557,-1.225561280202823,-0.644439287046437,-0.9823760101388146,-1.0775383593567218,-1.2956222685073504,-1.0404824839129825,-0.7949601988231167,-0.07488013590358333,-0.5787853168250003,-1.09132180499462,-1.3597573455005367,-0.7388707321720731,-0.8266214807295813,-1.1051151271269557,-0.9063901031608923
2016-05-08,-0.8503698324645024,-0.8826306946827236,-0.9800230406913721,-0.8899299971643351,-1.043378429771722,-0.6364810963547964,-1.0569840818275011,-1.0877557404942548,-0.7335839267736413,-0.7770240554696306,-0.9699727048378715,-0.9371828820148806,-1.2298268946669118,-1.0952052946476982,-0.885133824900842,-0.7621845416068562,-1.1747671174838845,-1.0161620873072463,-0.9769413741539648,-1.0224979057563317,-0.9540361125750589,-1.0303158347453403,-1.3002143917084483,-1.2135531425190411,-0.9552013875175591,-1.0569840818275011,-0.8909989443532398,-0.9782032039743873,-0.9516235661696748,-0.9028334020002429,-1.3252480684221806,-0.6089593593005409,-1.2653853514045075,-1.1232334673687019,-1.174767117483885,-1.1576276076071883,-1.0125323192566666,-0.969972704837871,-0.6285294554946383,-1.0826265124408385,-1.0134989698877623,-1.0241942590045103,-0.8826306946827236,-0.2019938758171418,-1.1682097169377252
