Date,GDP_Growth
2018-06-30,7.5
2018-09-30,6.5
2018-12-31,6.2
2019-03-31,5.7
2019-06-30,5.1
2019-09-30,4.3
2019-12-31,3.3
2020-03-31,2.9
2020-06-30,-23.1
2020-09-30,-5.8
2020-12-31,1.8
2021-03-31,3.3
2021-06-30,22.6
2021-09-30,9.9
2021-12-31,5.5
2022-03-31,4.5
2022-06-30,13.5
2022-09-30,6
2022-12-31,4.8
2023-03-31,6.9
2023-06-30,9.7
2023-09-30,9.3
2023-12-31,9.5
2024-03-31,8.4
2024-06-30,6.5
2024-09-30,5.6
2024-12-31,6.4
2025-03-31,7.4
2025-06-30,7.8
2025-09-30,8.2
