,PC1,PC2,PC3,PC4,PC5,PC6,PC7
2015-12-27,-16.930319666259535,-2.886531067658025,-1.2515781464793738,-1.430908790356222,-0.4536503810322793,0.893738586829088,0.5034159847774847
2016-01-03,-13.333869743198454,-2.121193478897194,-0.11494925781821266,-1.661093569364618,2.23754428987334,1.390942829981954,1.098534428026517
2016-01-10,-15.48678138210711,-1.5927421843410896,-0.6319837078182944,0.10621206920728346,1.2794541677068287,2.0618052231830286,0.45238209720577227
2016-01-17,-16.046404539713144,-1.747085286570896,-1.3136064861787526,0.4966531975795417,0.22732358269691538,-0.4681478153031852,0.24252890138154876
2016-01-24,-16.00270080841904,-1.6618073595300367,-1.074621787077247,1.1772302642440207,0.2710734374099339,-0.08900210987643276,0.07392723402961823
2016-01-31,-15.64498945881052,-1.0800554907256403,-2.2192064673813445,1.102995664504627,1.140298724540671,2.257670886660487,0.37241256379256105
2016-02-07,-15.700402902132812,-1.6602356179945188,-1.6188776899397213,0.61340130984246,0.3341679716125865,1.0008440334832744,-0.96856067766345
2016-02-14,-16.194663804023218,0.21525976218830878,-0.9837634226835251,-0.06672797534020586,0.06872623015665973,0.06330513095615681,0.27857338320855696
2016-02-21,-16.16509036627794,-1.0409422936721657,-2.1176300475616596,-0.10096769595368273,1.083388805429466,1.30582330471337,0.6594319279065912
2016-02-28,-15.123129450616789,-1.1614965928083683,-1.1817964759524324,-0.4150641283015066,0.4034827485423192,0.031202830698050642,0.9539013572866961
2016-03-06,-15.717449774208479,-1.3743475263058305,-1.3143796939432322,1.1960509659394094,-0.19059657792610485,-0.45007435493111825,0.9460359155801868
2016-03-13,-16.374355287775252,-1.3594249880071134,-1.3728374806037438,0.2608409702238097,0.8892888792023826,1.42196184223947,0.8889087325321101
2016-03-20,-16.13943415467033,-1.6416049428038348,-1.4906525881306187,1.053646626493915,-0.10991428366536626,-0.42773479420165644,0.5267623427419361
2016-03-27,-14.970638543505407,-1.0403879589818876,-1.0767550341709904,1.272672836901112,-0.3725284509395694,0.14717727744671502,0.4073690281679392
2016-04-03,-14.72597874350327,-1.5844734491017078,-0.9846202962518203,1.080571222461187,1.4462241774810092,0.8667506187146768,-0.2793124311487309
2016-04-10,-15.364107490680817,-2.147764156459492,-1.2096565569034472,1.1883140102425906,0.696810217188872,0.8370942062510962,0.42754168626092265
2016-04-17,-15.784401394007967,-0.8740817274379833,-0.7720826994190713,1.617698644887184,0.2305820140036201,0.6972901501766144,0.46739621655218694
2016-04-24,-14.165023148747354,-0.4786646989385174,-0.6810235978520468,-0.41931424387930416,0.39360498009927086,-1.0590673742403007,-0.47222454253428375
2016-05-01,-13.734949000636734,-1.2385410639005296,-1.392971080556741,0.5029613310311979,0.9708510614917214,0.9543899905418127,-0.27718214374907596
2016-05-08,-15.583778549341739,-2.1036599034274763,-1.6526235634018676,1.0454286731703475,0.6579742663981053,-0.27247606213739883,0.10191888448625704
